"output_area","ALL PEOPLE","In an unshared dwelling","House or bungalow","     Detached","     Semi-detached","     Terraced (including end-terrace)","  Flat, maisonette or apartment","     In a purpose-built block of flats","     Part of a converted or shared house","     In a commercial building","  Caravan or other mobile or temporary structure","In a shared dwelling"
"60QA000305",70,70,52,4,9,39,18,17,1,0,0,0
"60QA000306",70,70,70,0,14,56,0,0,0,0,0,0
"60QA000307",84,84,81,1,45,35,3,3,0,0,0,0
"60QA000308",51,51,0,0,0,0,51,50,1,0,0,0
"60QA000309",161,161,138,3,126,9,23,20,3,0,0,0
"60QA000310",128,128,42,0,42,0,86,85,1,0,0,0
"60QA000311",95,95,0,0,0,0,95,84,6,5,0,0
"60QA000312",88,88,3,0,3,0,85,85,0,0,0,0
"60QA000313",113,113,109,7,80,22,4,4,0,0,0,0
"60QA000314",128,128,126,10,71,45,2,2,0,0,0,0
"60QA000315",73,73,69,11,30,28,4,1,0,3,0,0
"60QA000316",117,117,117,3,39,75,0,0,0,0,0,0
"60QA000317",94,94,92,7,30,55,2,2,0,0,0,0
"60QA000318",143,143,34,0,4,30,109,109,0,0,0,0
"60QA000319",156,156,79,3,4,72,77,74,3,0,0,0
"60QA000320",182,182,178,0,101,77,4,4,0,0,0,0
"60QA000321",163,163,163,1,48,114,0,0,0,0,0,0
"60QA000322",102,102,24,0,5,19,78,78,0,0,0,0
"60QA000323",114,114,114,8,32,74,0,0,0,0,0,0
"60QA000324",69,69,68,4,12,52,1,1,0,0,0,0
"60QA000325",109,109,109,2,62,45,0,0,0,0,0,0
"60QA000326",112,112,111,9,50,52,1,1,0,0,0,0
"60QA000327",123,123,123,8,84,31,0,0,0,0,0,0
"60QA000328",186,183,91,1,13,77,89,89,0,0,3,3
"60QA000329",173,173,147,9,36,102,26,26,0,0,0,0
"60QA000330",76,76,35,6,13,16,41,41,0,0,0,0
"60QA000331",129,129,69,7,24,38,60,60,0,0,0,0
"60QA000332",75,75,0,0,0,0,75,75,0,0,0,0
"60QA000333",63,63,36,4,2,30,27,27,0,0,0,0
"60QA000334",146,146,102,3,16,83,44,44,0,0,0,0
"60QA000335",163,163,66,7,24,35,97,97,0,0,0,0
"60QA000336",107,107,70,7,53,10,37,37,0,0,0,0
"60QA000337",126,126,126,8,114,4,0,0,0,0,0,0
"60QA000338",138,138,138,6,131,1,0,0,0,0,0,0
"60QA000339",120,120,36,10,4,22,84,75,4,5,0,0
"60QA000340",116,116,116,5,107,4,0,0,0,0,0,0
"60QA000341",107,107,101,10,91,0,6,2,0,4,0,0
"60QA000342",99,99,99,4,95,0,0,0,0,0,0,0
"60QA000343",106,106,106,12,92,2,0,0,0,0,0,0
"60QA000344",151,151,151,24,98,29,0,0,0,0,0,0
"60QA000345",113,113,113,27,75,11,0,0,0,0,0,0
"60QA000346",86,86,84,34,48,2,2,2,0,0,0,0
"60QA000347",117,117,116,3,113,0,1,1,0,0,0,0
