"output_area","All people","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"
"S00089666",90,0,3,87
"S00089667",60,5,1,54
"S00089668",89,6,15,68
"S00089669",134,2,7,125
"S00089670",74,2,0,72
"S00089671",316,5,14,297
"S00089672",116,22,18,76
"S00089673",100,21,29,50
"S00089674",138,5,8,125
"S00089675",136,1,4,131
"S00089676",70,4,4,62
"S00089677",120,2,11,107
"S00089678",69,5,2,62
"S00089679",138,6,15,117
"S00089680",118,9,4,105
"S00089681",145,5,10,130
"S00089682",64,0,6,58
"S00089683",78,0,7,71
"S00089684",77,4,8,65
"S00089685",120,6,7,107
"S00089686",63,0,2,61
"S00089687",80,1,3,76
"S00089688",99,5,9,85
"S00089689",58,12,6,40
"S00089690",151,7,12,132
"S00089691",135,10,21,104
"S00089692",59,2,5,52
"S00089693",65,0,2,63
"S00089694",116,0,1,115
"S00089695",118,1,6,111
"S00089696",138,4,7,127
"S00089697",86,1,3,82
"S00089698",103,2,7,94
"S00089699",74,2,1,71
"S00089700",120,1,9,110
"S00089701",85,2,12,71
"S00089702",73,1,3,69
"S00089703",145,6,8,131
"S00089704",115,4,7,104
"S00089705",112,7,7,98
"S00089706",136,3,12,121
"S00089707",97,35,16,46
"S00089708",57,7,8,42
"S00089709",93,4,7,82
"S00089710",132,14,20,98
"S00089711",139,4,31,104
"S00089712",113,2,15,96
"S00089713",105,3,17,85
"S00089714",154,4,9,141
"S00089715",103,0,10,93
"S00089716",128,45,46,37
"S00089717",128,6,13,109
"S00089718",168,4,9,155
"S00089719",189,6,13,170
"S00089720",167,5,9,153
"S00089721",179,1,8,170
"S00089722",95,2,9,84
"S00089723",58,1,1,56
"S00089724",86,0,5,81
"S00089725",96,3,3,90
"S00089726",121,7,9,105
"S00089727",100,9,4,87
"S00089728",92,4,12,76
"S00089729",148,5,10,133
"S00089730",78,2,4,72
"S00089731",113,2,8,103
"S00089732",158,26,14,118
"S00089733",100,2,10,88
"S00089734",94,9,10,75
"S00089735",75,1,3,71
"S00089736",84,1,4,79
"S00089737",86,4,6,76
"S00089738",71,4,7,60
"S00089739",91,8,10,73
"S00089740",124,4,10,110
"S00089741",109,6,7,96
"S00089742",172,2,7,163
"S00089743",164,5,9,150
"S00089744",81,4,3,74
"S00089745",130,5,7,118
"S00089746",121,1,5,115
"S00089747",100,4,4,92
"S00089748",115,1,9,105
"S00089749",62,2,3,57
"S00089750",103,1,2,100
"S00089751",110,1,6,103
"S00089752",108,1,4,103
"S00089753",136,3,9,124
"S00089754",124,3,3,118
"S00089755",65,3,2,60
"S00089756",77,2,7,68
"S00089757",122,3,6,113
"S00089758",112,3,11,98
"S00089759",172,13,16,143
"S00089760",80,4,7,69
"S00089761",59,1,6,52
"S00089762",119,3,5,111
"S00089763",108,4,4,100
"S00089764",131,8,9,114
"S00089765",141,9,7,125
"S00089766",104,6,12,86
"S00089767",64,1,2,61
"S00089768",62,0,3,59
"S00089769",57,1,0,56
"S00089770",102,2,3,97
"S00089771",94,0,5,89
"S00089772",93,3,3,87
"S00089773",108,0,11,97
"S00089774",82,2,1,79
"S00089775",73,4,0,69
"S00089776",94,2,4,88
"S00089777",91,1,5,85
"S00089778",139,4,7,128
"S00089779",92,13,10,69
"S00089780",70,4,3,63
"S00089781",89,1,2,86
"S00089782",71,2,4,65
"S00089783",79,29,13,37
"S00089784",59,4,3,52
"S00089785",153,9,15,129
"S00089786",102,4,9,89
"S00089787",81,5,9,67
"S00089788",68,3,5,60
"S00089789",115,5,5,105
"S00089790",282,8,25,249
"S00089791",66,10,7,49
"S00089792",73,2,8,63
"S00089793",77,3,6,68
"S00089794",71,6,2,63
"S00089795",152,17,9,126
"S00089796",121,1,2,118
"S00089797",90,0,5,85
"S00089798",97,3,4,90
"S00089799",141,4,16,121
"S00089800",107,2,3,102
"S00089801",83,27,23,33
"S00089802",182,15,21,146
"S00089803",83,5,9,69
"S00089804",124,13,17,94
"S00089805",73,11,9,53
"S00089806",113,3,9,101
"S00089807",81,16,8,57
"S00089808",82,7,5,70
"S00089809",92,11,11,70
"S00089810",66,5,10,51
"S00089811",77,6,6,65
"S00089812",98,12,9,77
"S00089813",168,20,17,131
"S00089814",69,21,15,33
"S00089815",94,8,13,73
"S00089816",124,15,14,95
"S00089817",124,16,11,97
"S00089818",93,6,5,82
"S00089819",174,10,15,149
"S00089820",124,9,9,106
"S00089821",114,14,8,92
"S00089822",105,9,9,87
"S00089823",104,9,10,85
"S00089824",166,16,24,126
"S00089825",147,21,20,106
"S00089826",114,5,6,103
"S00089827",126,10,14,102
"S00089828",73,42,15,16
"S00089829",93,8,14,71
"S00089830",124,12,11,101
"S00089831",114,15,8,91
"S00089832",87,15,10,62
"S00089833",145,4,18,123
"S00089834",92,10,10,72
"S00089835",90,15,4,71
"S00089836",166,26,13,127
"S00089837",154,18,19,117
"S00089838",142,23,15,104
"S00089839",87,8,12,67
"S00089840",85,13,9,63
"S00089841",131,7,7,117
"S00089842",82,9,7,66
"S00089843",141,7,16,118
"S00089844",113,11,17,85
"S00089845",137,14,12,111
"S00089846",86,9,11,66
"S00089847",82,5,6,71
"S00089848",123,3,8,112
"S00089849",134,11,9,114
"S00089850",149,16,16,117
"S00089851",82,12,8,62
"S00089852",97,32,31,34
"S00089853",130,12,18,100
"S00089854",95,40,24,31
"S00089855",132,18,16,98
"S00089856",152,11,18,123
"S00089857",116,9,17,90
"S00089858",87,3,15,69
"S00089859",116,6,7,103
"S00089860",102,4,8,90
"S00089861",85,6,7,72
"S00089862",121,19,12,90
"S00089863",158,9,22,127
"S00089864",170,13,14,143
"S00089865",137,5,10,122
"S00089866",81,15,5,61
"S00089867",116,9,5,102
"S00089868",60,6,14,40
"S00089869",159,5,10,144
"S00089870",127,3,18,106
"S00089871",126,26,16,84
"S00089872",147,7,25,115
"S00089873",180,9,13,158
"S00089874",130,8,9,113
"S00089875",133,18,27,88
"S00089876",109,4,9,96
"S00089877",106,11,10,85
"S00089878",93,16,19,58
"S00089879",131,5,10,116
"S00089880",151,6,24,121
"S00089881",170,14,21,135
"S00089882",113,9,12,92
"S00089883",91,4,12,75
"S00089884",111,4,9,98
"S00089885",120,21,12,87
"S00089886",98,14,19,65
"S00089887",100,10,7,83
"S00089888",75,2,5,68
"S00089889",58,16,10,32
"S00089890",111,3,4,104
"S00089891",236,75,33,128
"S00089892",130,2,1,127
"S00089893",128,22,15,91
"S00089894",148,6,8,134
"S00089895",82,3,2,77
"S00089896",81,8,8,65
"S00089897",109,14,19,76
"S00089898",129,11,14,104
"S00089899",116,6,15,95
"S00089900",101,2,8,91
"S00089901",93,4,9,80
"S00089902",157,5,23,129
"S00089903",136,8,18,110
"S00089904",99,5,10,84
"S00089905",104,8,11,85
"S00089906",93,11,11,71
"S00089907",109,14,9,86
"S00089908",116,22,9,85
"S00089909",57,6,10,41
"S00089910",116,7,13,96
