"output_area","All people","Number of people born in: England","Number of people born in: Scotland","Number of people born in: Wales","Number of people born in: Northern Ireland","Number of people born in: Republic of Ireland","Number of people born in: Other EU countries","Number of people born: Elsewhere"
"60QA000494",61,10,40,0,2,1,5,3
"60QA000495",103,5,96,0,0,0,0,2
"60QA000496",83,2,81,0,0,0,0,0
"60QA000497",112,16,89,0,1,1,2,3
"60QA000498",181,31,108,0,2,6,11,23
"60QA000499",129,11,109,0,1,1,2,5
"60QA000500",113,16,82,0,7,0,6,2
"60QA000501",67,4,62,0,0,0,0,1
"60QA000502",63,6,56,0,1,0,0,0
"60QA000503",77,4,71,0,0,0,0,2
"60QA000504",58,3,52,1,0,0,0,2
"60QA000505",65,5,60,0,0,0,0,0
"60QA000506",187,32,115,2,4,1,10,23
"60QA000507",132,10,114,0,0,0,4,4
"60QA000508",82,7,74,1,0,0,0,0
"60QA000509",98,13,77,0,0,0,2,6
"60QA000510",141,9,125,0,0,0,2,5
"60QA000511",129,2,116,1,0,0,2,8
"60QA000512",65,2,63,0,0,0,0,0
"60QA000513",64,2,61,0,0,0,0,1
"60QA000514",64,2,61,0,0,1,0,0
"60QA000515",99,3,84,0,0,0,0,12
"60QA000516",86,3,73,0,1,0,1,8
"60QA000517",113,9,100,1,1,0,0,2
"60QA000518",108,6,90,0,1,2,5,4
"60QA000519",123,5,101,0,3,1,6,7
"60QA000520",124,7,108,0,2,0,2,5
"60QA000521",75,3,66,0,0,0,2,4
"60QA000522",168,28,115,0,9,6,3,7
"60QA000523",329,65,201,2,14,3,13,31
"60QA000524",64,8,49,1,0,2,2,2
"60QA000525",162,10,145,0,1,0,0,6
"60QA000526",126,13,107,0,0,0,4,2
"60QA000527",91,2,82,0,3,0,3,1
"60QA000528",119,3,114,0,0,1,1,0
"60QA000529",126,4,119,0,2,0,0,1
"60QA000530",98,4,92,1,1,0,0,0
"60QA000531",108,4,99,0,1,2,0,2
"60QA000532",72,1,68,0,2,0,0,1
"60QA000533",105,4,100,0,1,0,0,0
"60QA000534",112,2,107,0,2,1,0,0
"60QA000535",107,3,103,0,0,1,0,0
"60QA000536",114,2,107,1,0,0,1,3
"60QA000537",150,2,142,0,0,0,1,5
"60QA000538",119,5,110,0,2,0,2,0
"60QA000539",67,2,63,0,0,0,0,2
"60QA000540",138,4,126,0,0,0,0,8
"60QA000541",91,5,80,0,0,0,2,4
"60QA000542",121,7,105,1,0,0,3,5
"60QA000543",79,0,76,0,0,0,0,3
"60QA000544",78,2,73,0,0,1,0,2
