"dz_2001","total","scotland","ruk","elsewhere"
"S01000668",864,797,44,23
"S01000669",827,697,79,51
"S01000670",669,591,60,18
"S01000671",590,488,56,46
"S01000672",713,612,76,25
"S01000673",721,594,109,18
"S01000674",1080,862,170,48
"S01000675",714,598,96,20
"S01000676",457,375,63,19
"S01000677",877,722,115,40
"S01000678",901,789,80,32
"S01000679",779,682,68,29
"S01000680",967,831,80,56
"S01000681",990,811,109,70
"S01000682",768,625,91,52
"S01000683",546,453,58,35
"S01000684",740,635,52,53
"S01000685",912,772,81,59
"S01000686",770,631,52,87
"S01000687",827,741,49,37
"S01000688",722,630,68,24
"S01000689",648,523,97,28
"S01000690",992,844,107,41
"S01000691",808,727,57,24
"S01000692",750,594,46,110
"S01000693",1015,854,81,80
"S01000694",701,627,58,16
"S01000695",788,665,75,48
"S01000696",774,654,67,53
"S01000697",958,783,135,40
"S01000698",620,546,50,24
"S01000699",630,548,53,29
"S01000700",806,697,82,27
"S01000701",1017,875,109,33
"S01000702",514,471,28,15
"S01000703",739,657,48,34
"S01000704",979,793,143,43
"S01000705",1146,979,125,42
"S01000706",859,712,112,35
"S01000707",625,485,114,26
"S01000708",565,418,119,28
"S01000709",1023,818,153,52
"S01000710",1108,865,194,49
"S01000711",505,397,95,13
"S01000712",621,557,50,14
"S01000713",752,681,56,15
"S01000714",986,797,150,39
"S01000715",658,591,52,15
"S01000716",535,448,55,32
"S01000717",915,786,96,33
"S01000718",810,742,54,14
"S01000719",641,543,77,21
"S01000720",778,546,206,26
"S01000721",702,520,150,32
"S01000722",846,748,69,29
"S01000723",460,369,85,6
"S01000724",784,688,71,25
"S01000725",595,390,177,28
"S01000726",760,551,166,43
"S01000727",610,557,42,11
"S01000728",651,529,98,24
"S01000729",491,442,37,12
"S01000730",457,403,42,12
"S01000731",595,524,61,10
"S01000732",543,449,68,26
"S01000733",672,551,92,29
"S01000734",826,633,147,46
"S01000735",443,353,69,21
"S01000736",740,616,104,20
"S01000737",470,391,66,13
"S01000738",449,373,56,20
"S01000739",730,591,110,29
"S01000740",658,451,169,38
"S01000741",786,614,142,30
"S01000742",642,483,127,32
"S01000743",901,719,124,58
"S01000744",740,597,103,40
"S01000745",716,600,81,35
"S01000746",786,692,59,35
"S01000747",562,467,54,41
"S01000748",465,393,54,18
"S01000749",541,459,57,25
"S01000750",687,559,94,34
"S01000751",722,582,114,26
"S01000752",977,857,89,31
"S01000753",596,502,74,20
"S01000754",787,670,84,33
"S01000755",706,522,154,30
"S01000756",1043,842,153,48
"S01000757",770,628,105,37
"S01000758",1286,1016,208,62
"S01000759",985,784,161,40
"S01000760",531,386,128,17
"S01000761",606,401,185,20
"S01000762",610,479,107,24
"S01000763",747,489,203,55
"S01000764",676,513,123,40
"S01000765",825,483,313,29
"S01000766",699,509,140,50
"S01000767",642,525,98,19
"S01000768",783,583,149,51
"S01000769",787,606,145,36
"S01000770",703,607,76,20
"S01000771",943,702,179,62
"S01000772",640,453,145,42
"S01000773",826,631,158,37
"S01000774",831,525,259,47
"S01000775",810,575,160,75
"S01000776",572,379,167,26
"S01000777",325,182,123,20
"S01000778",466,309,139,18
"S01000779",793,537,212,44
"S01000780",849,643,180,26
"S01000781",806,559,207,40
"S01000782",680,476,182,22
"S01000783",464,311,127,26
"S01000784",803,545,217,41
"S01000785",714,506,173,35
"S01000786",749,534,176,39
"S01000787",498,331,122,45
"S01000788",656,460,173,23
"S01000789",742,593,115,34
"S01000790",512,313,157,42
"S01000791",607,511,74,22
"S01000792",664,427,201,36
"S01000793",675,570,71,34
"S01000794",861,739,101,21
"S01000795",940,799,111,30
"S01000796",428,322,84,22
"S01000797",449,351,85,13
"S01000798",484,401,68,15
"S01000799",1589,596,915,78
"S01000800",947,639,257,51
"S01000801",635,471,132,32
"S01000802",770,564,175,31
"S01000803",972,619,304,49
"S01000804",912,672,173,67
"S01000805",803,587,162,54
"S01000806",808,477,295,36
"S01000807",769,636,75,58
"S01000808",749,441,251,57
"S01000809",616,372,189,55
"S01000810",735,524,169,42
"S01000811",798,655,115,28
"S01000812",1347,1157,132,58
"S01000813",771,679,68,24
"S01000814",786,677,59,50
"S01000815",520,439,41,40
"S01000816",563,440,86,37
"S01000817",916,804,82,30
"S01000818",911,677,129,105
"S01000819",882,583,213,86
"S01000820",554,277,240,37
"S01000821",854,659,86,109
"S01000822",532,454,51,27
"S01000823",502,426,40,36
"S01000824",756,586,144,26
"S01000825",739,525,156,58
"S01000826",625,539,70,16
"S01000827",736,522,174,40
"S01000828",925,629,239,57
"S01000829",693,479,159,55
"S01000830",872,506,313,53
"S01000831",848,646,183,19
"S01000832",954,635,269,50
"S01000833",1164,967,134,63
"S01000834",980,889,67,24
"S01000835",774,709,54,11
"S01000836",785,674,74,37
"S01000837",984,844,63,77
"S01000838",623,560,48,15
"S01000839",1355,1205,86,64
"S01000840",686,610,33,43
"S01000841",988,872,73,43
"S01000842",867,770,74,23
"S01000843",910,789,81,40
"S01000844",787,661,81,45
"S01000845",540,473,51,16
"S01000846",680,620,36,24
"S01000847",974,848,65,61
"S01000848",651,581,49,21
"S01000849",479,445,27,7
"S01000850",699,588,54,57
"S01000851",714,633,53,28
"S01000852",725,671,33,21
