"dz_2001","total","non_catholic_christian","catholic_christian","jewish","muslim","none","other"
"S01000406",629,340,19,0,0,240,30
"S01000407",658,386,22,0,0,216,34
"S01000408",513,291,30,0,0,175,17
"S01000409",666,404,20,0,0,226,16
"S01000410",664,386,18,0,1,226,33
"S01000411",631,360,29,0,0,200,42
"S01000412",787,452,21,0,0,284,30
"S01000413",786,422,52,0,0,272,40
"S01000414",721,367,51,0,0,272,31
"S01000415",615,363,27,0,0,191,34
"S01000416",670,391,22,0,5,228,24
"S01000417",1005,632,33,2,1,302,35
"S01000418",723,469,28,0,0,198,28
"S01000419",672,369,20,1,0,255,27
"S01000420",998,594,61,0,0,306,37
"S01000421",601,335,28,0,0,209,29
"S01000422",725,493,19,0,0,194,19
"S01000423",904,581,17,1,2,274,29
"S01000424",727,361,39,0,1,292,34
"S01000425",695,435,35,0,0,203,22
"S01000426",797,418,30,0,12,301,36
"S01000427",785,375,42,0,2,332,34
"S01000428",777,469,38,0,0,234,36
"S01000429",782,508,28,0,0,202,44
"S01000430",570,330,25,0,0,195,20
"S01000431",693,440,29,0,0,188,36
"S01000432",973,571,26,0,10,304,62
"S01000433",468,312,14,0,0,129,13
"S01000434",680,377,39,0,0,242,22
"S01000435",555,319,31,0,0,182,23
"S01000436",695,403,26,0,4,242,20
"S01000437",1024,595,56,0,0,332,41
"S01000438",698,366,58,0,8,245,21
"S01000439",700,354,30,0,2,281,33
"S01000440",868,546,20,0,0,253,49
"S01000441",871,505,29,0,0,285,52
"S01000442",808,475,34,0,0,264,35
"S01000443",581,314,15,0,1,229,22
"S01000444",573,306,22,0,0,210,35
"S01000445",971,509,43,0,4,355,60
"S01000446",946,495,39,0,6,364,42
"S01000447",539,327,10,0,0,179,23
"S01000448",622,364,20,0,0,192,46
"S01000449",784,401,32,0,0,321,30
"S01000450",645,361,33,0,0,230,21
"S01000451",790,444,22,0,0,287,37
"S01000452",561,333,23,0,2,168,35
"S01000453",547,357,20,0,0,154,16
"S01000454",493,299,14,0,0,158,22
"S01000455",870,426,26,0,0,362,56
"S01000456",718,434,28,0,0,220,36
"S01000457",872,620,25,0,0,194,33
"S01000458",853,458,31,0,0,324,40
"S01000459",1037,659,36,0,0,300,42
"S01000460",769,420,30,0,0,269,50
"S01000461",863,512,34,1,1,278,37
"S01000462",1035,645,37,0,0,324,29
"S01000463",816,446,72,0,0,268,30
"S01000464",741,442,27,0,1,231,40
"S01000465",629,351,18,0,0,232,28
"S01000466",799,445,30,0,1,283,40
"S01000467",626,344,29,0,0,205,48
"S01000468",520,257,14,0,0,204,45
"S01000469",689,386,24,0,0,235,44
"S01000470",1263,729,70,0,2,329,133
"S01000471",603,330,14,0,0,237,22
"S01000472",836,381,34,0,5,389,27
"S01000473",745,356,23,0,0,334,32
"S01000474",648,414,26,0,0,171,37
"S01000475",887,387,20,0,1,447,32
"S01000476",581,369,21,0,0,163,28
"S01000477",777,438,11,0,0,297,31
"S01000478",869,467,16,2,1,322,61
"S01000479",967,532,35,0,1,362,37
"S01000480",665,404,23,0,0,207,31
"S01000481",784,473,23,0,0,259,29
"S01000482",837,439,26,0,5,336,31
"S01000483",920,559,34,1,0,295,31
"S01000484",806,368,47,0,1,322,68
"S01000485",1080,678,20,1,3,339,39
"S01000486",798,327,35,0,0,387,49
"S01000487",590,364,12,0,0,195,19
"S01000488",703,382,13,1,0,264,43
"S01000489",904,425,16,0,1,401,61
"S01000490",541,262,13,0,1,238,27
"S01000491",593,213,29,1,0,325,25
"S01000492",954,378,35,0,2,485,54
"S01000493",588,346,8,0,0,196,38
"S01000494",566,218,18,0,2,310,18
"S01000495",935,555,26,0,0,308,46
"S01000496",587,342,9,1,0,172,63
"S01000497",630,402,16,0,0,181,31
"S01000498",548,377,10,0,0,139,22
"S01000499",803,440,18,2,4,306,33
"S01000500",675,368,7,0,0,280,20
"S01000501",621,408,17,1,0,175,20
"S01000502",540,328,5,0,0,173,34
"S01000503",533,350,13,0,0,149,21
"S01000504",708,454,24,0,0,202,28
"S01000505",757,463,23,1,1,244,25
"S01000506",654,384,7,0,0,226,37
"S01000507",1087,684,12,0,0,344,47
"S01000508",877,509,20,0,0,313,35
"S01000509",1058,715,10,0,5,275,53
"S01000510",658,437,10,0,1,178,32
"S01000511",556,316,12,0,0,211,17
"S01000512",892,587,21,0,4,237,43
"S01000513",862,545,15,0,0,247,55
"S01000514",516,309,12,0,0,167,28
"S01000515",484,278,14,0,0,163,29
"S01000516",654,394,13,0,1,210,36
"S01000517",651,429,7,0,0,191,24
"S01000518",879,551,25,3,2,265,33
"S01000519",476,308,10,0,0,132,26
"S01000520",1010,616,25,1,0,314,54
"S01000521",927,503,9,0,0,358,57
"S01000522",612,357,13,0,0,217,25
"S01000523",793,453,22,0,0,273,45
"S01000524",647,353,22,0,0,245,27
"S01000525",987,614,40,1,0,284,48
"S01000526",966,567,25,0,0,328,46
"S01000527",587,348,19,1,1,199,19
"S01000528",843,510,28,0,0,257,48
"S01000529",723,434,16,0,1,225,47
"S01000530",477,278,7,0,0,167,25
"S01000531",523,342,6,0,0,154,21
"S01000532",809,493,25,1,0,253,37
"S01000533",760,448,14,0,0,264,34
"S01000534",813,455,22,1,1,303,31
"S01000535",985,596,13,0,0,342,34
"S01000536",519,281,22,1,0,172,43
"S01000537",559,357,18,0,0,158,26
"S01000538",789,463,22,0,0,275,29
"S01000539",1028,551,30,0,0,404,43
"S01000540",784,479,15,0,0,260,30
"S01000541",552,307,11,0,0,204,30
"S01000542",672,395,15,0,1,225,36
"S01000543",814,550,8,0,0,233,23
"S01000544",733,517,2,0,0,152,62
"S01000545",717,369,20,0,0,292,36
"S01000546",609,357,12,0,0,213,27
"S01000547",544,338,6,1,0,170,29
"S01000548",1012,659,19,0,0,282,52
"S01000549",1136,770,17,0,0,306,43
"S01000550",557,385,4,0,0,134,34
"S01000551",830,540,9,1,1,242,37
"S01000552",554,384,1,0,0,157,12
"S01000553",867,566,10,0,0,244,47
"S01000554",791,301,6,0,0,435,49
"S01000555",904,562,26,0,0,256,60
"S01000556",880,454,8,0,0,365,53
"S01000557",880,549,14,0,0,271,46
"S01000558",564,372,10,0,0,158,24
"S01000559",707,450,11,0,0,223,23
"S01000560",1044,468,14,0,0,486,76
"S01000561",1034,660,23,0,1,297,53
"S01000562",909,498,19,0,0,336,56
"S01000563",640,315,19,0,0,242,64
"S01000564",860,314,28,0,0,426,92
"S01000565",709,406,18,0,0,250,35
"S01000566",759,386,12,0,0,280,81
"S01000567",769,420,9,0,0,296,44
"S01000568",542,351,7,0,0,158,26
"S01000569",742,446,90,0,1,169,36
"S01000570",939,525,90,1,17,256,50
"S01000571",780,492,73,0,5,192,18
"S01000572",800,463,86,0,0,192,59
"S01000573",600,307,104,0,0,150,39
"S01000574",814,500,79,0,6,159,70
"S01000575",608,384,64,0,0,142,18
"S01000576",654,396,96,0,11,130,21
"S01000577",595,367,69,0,0,149,10
"S01000578",706,444,62,0,0,186,14
"S01000579",807,524,66,0,6,177,34
"S01000580",681,371,85,0,3,200,22
"S01000581",707,387,115,1,9,183,12
"S01000582",728,383,61,0,0,238,46
"S01000583",758,420,77,1,0,217,43
"S01000584",781,439,52,1,6,228,55
"S01000585",945,499,75,0,7,327,37
"S01000586",775,439,61,0,1,243,31
"S01000587",702,379,56,0,0,233,34
"S01000588",627,397,47,0,0,149,34
"S01000589",645,369,53,0,3,200,20
"S01000590",773,460,70,2,2,215,24
"S01000591",496,300,68,0,0,106,22
"S01000592",924,589,74,0,5,222,34
"S01000593",571,329,34,0,0,191,17
"S01000594",655,449,60,0,0,118,28
"S01000595",839,479,52,0,5,202,101
"S01000596",945,602,105,0,1,210,27
"S01000597",1065,685,81,0,0,266,33
"S01000598",519,303,53,2,0,138,23
"S01000599",775,500,79,0,0,155,41
"S01000600",742,436,71,0,1,198,36
"S01000601",1072,556,138,0,0,298,80
"S01000602",679,425,61,0,0,167,26
"S01000603",822,515,68,0,1,200,38
"S01000604",1000,662,40,0,0,252,46
"S01000605",871,524,49,0,0,247,51
"S01000606",820,424,45,0,0,293,58
"S01000607",784,557,24,1,0,165,37
"S01000608",972,519,49,0,6,330,68
"S01000609",1009,480,58,0,0,390,81
"S01000610",773,398,43,1,6,260,65
"S01000611",624,349,16,0,1,206,52
"S01000612",995,578,41,0,1,308,67
"S01000613",1004,615,37,1,0,291,60
"S01000614",722,478,58,0,4,155,27
"S01000615",764,474,44,0,0,204,42
"S01000616",1220,773,88,1,0,247,111
"S01000617",634,434,37,1,0,137,25
"S01000618",827,521,73,0,0,194,39
"S01000619",714,431,33,0,0,189,61
"S01000620",819,364,37,0,0,363,55
"S01000621",1009,664,31,0,0,284,30
"S01000622",547,209,32,0,0,245,61
"S01000623",780,435,34,0,0,261,50
"S01000624",604,322,43,1,0,205,33
"S01000625",629,310,27,0,2,203,87
"S01000626",822,391,37,0,0,335,59
"S01000627",931,532,39,0,0,309,51
"S01000628",559,256,26,0,0,229,48
"S01000629",662,429,27,0,0,190,16
"S01000630",732,433,34,0,0,233,32
"S01000631",637,336,35,0,0,240,26
"S01000632",589,357,33,0,0,178,21
"S01000633",632,355,27,0,4,218,28
"S01000634",822,470,36,0,0,255,61
"S01000635",678,412,43,0,5,187,31
"S01000636",501,309,21,0,2,130,39
"S01000637",595,354,33,0,0,195,13
"S01000638",503,353,28,0,0,112,10
"S01000639",606,358,35,0,0,191,22
"S01000640",635,420,37,0,0,159,19
"S01000641",785,514,33,0,0,207,31
"S01000642",807,514,27,0,0,229,37
"S01000643",609,432,28,1,0,130,18
"S01000644",680,452,36,0,1,173,18
"S01000645",898,517,46,0,0,283,52
"S01000646",826,626,30,0,5,134,31
"S01000647",877,575,30,0,3,215,54
"S01000648",910,507,39,0,0,293,71
"S01000649",582,350,39,0,2,158,33
"S01000650",737,470,29,0,0,202,36
"S01000651",806,490,30,0,3,249,34
"S01000652",812,556,27,0,1,198,30
"S01000653",909,569,32,0,0,274,34
"S01000654",943,636,29,0,0,234,44
"S01000655",797,440,31,0,0,288,38
"S01000656",678,374,50,0,0,219,35
"S01000657",760,510,21,0,0,183,46
"S01000658",578,342,23,0,0,184,29
"S01000659",1066,770,41,0,2,221,32
"S01000660",974,635,40,0,11,200,88
"S01000661",765,551,37,0,0,148,29
