dz_2001,total,none,one,two,three,four,numcar
S01003200,430,275,144,10,0,1,168
S01003201,133,78,50,5,0,0,60
S01003202,528,333,159,29,6,1,239
S01003203,413,175,180,51,7,0,303
S01003204,363,176,142,38,5,2,241
S01003205,431,258,145,21,7,0,208
S01003206,468,327,125,13,3,0,160
S01003207,316,135,146,30,4,1,222
S01003208,635,403,183,41,5,3,294
S01003209,250,79,118,43,8,2,239
S01003210,365,72,169,101,15,8,450
S01003211,251,64,129,42,11,5,268
S01003212,261,50,105,83,18,5,345
S01003213,264,144,95,23,2,0,147
S01003214,348,151,148,39,6,4,260
S01003215,383,196,140,40,6,1,243
S01003216,343,152,138,42,11,0,255
S01003217,418,305,100,10,1,2,132
S01003218,338,158,133,41,5,1,234
S01003219,337,140,137,50,9,1,268
S01003220,277,127,90,46,11,3,239
S01003221,428,291,108,20,9,0,175
S01003222,280,107,137,29,7,0,216
S01003223,470,318,130,21,1,0,175
S01003224,284,52,136,73,15,8,360
S01003225,398,300,89,7,2,0,109
S01003226,342,210,110,19,2,1,158
S01003227,792,304,386,88,9,5,614
S01003228,597,263,262,64,7,1,415
S01003229,332,24,140,124,26,18,542
S01003230,374,123,180,63,6,2,332
S01003231,442,218,182,35,5,2,275
S01003232,503,328,143,31,1,0,208
S01003233,349,35,145,124,38,7,536
S01003234,360,68,174,85,25,8,454
S01003235,370,150,143,63,10,4,315
S01003236,252,103,102,37,9,1,208
S01003237,414,208,152,46,7,1,269
S01003238,346,157,148,33,8,0,238
S01003239,461,230,181,40,7,3,310
S01003240,326,110,157,52,6,1,283
S01003241,349,114,144,74,15,2,345
S01003242,497,193,193,83,19,9,461
S01003243,405,175,169,51,7,3,304
S01003244,446,230,166,40,10,0,276
S01003245,708,525,160,20,3,0,209
S01003246,660,467,169,21,2,1,221
S01003247,355,218,118,13,5,1,164
S01003248,649,388,221,36,4,0,305
S01003249,421,234,153,25,8,1,231
S01003250,257,105,111,36,5,0,198
S01003251,471,363,97,11,0,0,119
S01003252,247,38,139,55,15,0,294
S01003253,540,414,104,21,1,0,149
S01003254,258,201,47,10,0,0,67
S01003255,446,246,164,31,4,1,242
S01003256,629,387,198,43,0,1,288
S01003257,258,34,133,65,16,10,357
S01003258,311,60,154,75,18,4,374
S01003259,479,141,196,113,23,6,516
S01003260,300,46,133,90,23,8,416
S01003261,421,103,209,79,24,6,463
S01003262,372,218,130,20,3,1,184
S01003263,465,262,177,21,5,0,234
S01003264,308,146,116,36,8,2,221
S01003265,306,117,137,40,10,2,255
S01003266,391,201,150,35,3,2,237
S01003267,583,346,201,31,4,1,279
S01003268,912,456,380,69,7,0,539
S01003269,493,336,124,27,4,2,198
S01003270,451,310,118,23,0,0,164
S01003271,1036,550,387,93,5,1,592
S01003272,894,539,300,51,3,1,416
S01003273,431,338,82,8,1,2,110
S01003274,335,244,81,8,2,0,103
S01003275,552,332,169,43,6,2,281
S01003276,277,43,132,85,10,7,365
S01003277,321,142,125,45,6,3,249
S01003278,362,145,144,59,9,5,309
S01003279,167,109,56,2,0,0,60
S01003280,445,214,137,69,15,10,368
S01003281,242,121,86,29,4,2,165
S01003282,295,87,128,67,12,1,302
S01003283,291,79,125,70,12,5,322
S01003284,561,336,183,38,3,1,272
S01003285,163,105,51,7,0,0,65
S01003286,587,344,199,39,5,0,292
S01003287,201,114,66,19,1,1,112
S01003288,285,56,136,79,12,2,338
S01003289,216,133,70,11,2,0,98
S01003290,443,241,164,30,8,0,248
S01003291,394,272,97,21,3,1,152
S01003292,286,77,130,67,11,1,301
S01003293,447,321,113,9,4,0,143
S01003294,445,308,111,25,1,0,164
S01003295,376,70,181,100,17,8,466
S01003296,395,293,91,10,1,0,114
S01003297,316,232,76,4,3,1,97
S01003298,474,187,214,61,11,1,373
S01003299,214,156,47,10,1,0,70
S01003300,386,125,175,73,8,5,365
S01003301,406,263,119,21,3,0,170
S01003302,401,313,81,6,1,0,96
S01003303,1144,540,508,87,7,2,711
S01003304,365,227,112,23,3,0,167
S01003305,384,174,169,39,1,1,255
S01003306,515,321,154,36,2,2,240
S01003307,520,273,181,56,6,4,327
S01003308,367,179,154,27,5,2,231
S01003309,494,341,139,14,0,0,167
S01003310,376,191,141,40,3,1,234
S01003311,279,45,136,67,29,2,366
S01003312,228,107,92,26,3,0,153
S01003313,457,300,130,23,3,1,189
S01003314,372,282,78,11,1,0,103
S01003315,308,133,139,33,2,1,215
S01003316,317,195,104,17,0,1,143
S01003317,293,101,139,50,2,1,249
S01003318,299,61,129,88,18,3,371
S01003320,269,149,95,22,3,0,148
S01003321,304,78,137,72,13,4,338
S01003322,461,321,123,15,2,0,159
S01003323,292,59,138,85,10,0,338
S01003324,245,143,89,13,0,0,115
S01003325,313,106,157,46,4,0,261
S01003326,453,287,143,21,2,0,191
S01003327,274,162,91,17,3,1,138
S01003328,636,354,251,28,1,2,324
S01003329,367,174,136,45,10,2,264
S01003330,324,35,147,109,29,4,468
S01003331,376,273,87,16,0,0,119
S01003332,206,136,58,10,1,1,88
S01003333,525,385,120,16,3,1,165
S01003334,449,236,155,46,9,3,288
S01003335,451,274,154,22,1,0,201
S01003336,497,299,157,38,3,0,242
S01003337,587,297,224,61,3,2,364
S01003338,455,220,196,28,6,5,292
S01003339,329,151,128,35,13,2,245
S01003340,551,323,194,28,5,1,269
S01003341,345,36,189,98,19,3,454
S01003342,353,251,82,18,2,0,124
S01003343,299,195,87,13,3,1,126
S01003344,191,74,80,32,4,1,160
S01003345,512,263,205,38,5,1,300
S01003346,383,193,160,26,3,1,225
S01003347,509,399,94,15,0,1,129
S01003348,595,228,290,69,5,3,458
S01003349,630,321,224,80,3,2,402
S01003350,365,148,147,65,5,0,292
S01003351,607,429,159,18,1,0,198
S01003352,538,311,166,52,8,1,300
S01003353,440,343,87,10,0,0,107
S01003354,325,195,110,18,2,0,152
S01003355,581,368,182,26,5,0,249
S01003356,516,376,129,11,0,0,151
S01003357,206,160,40,5,1,0,53
S01003358,1130,777,306,40,4,3,422
S01003359,355,35,163,123,29,5,516
S01003360,312,121,116,62,13,0,279
S01003361,380,245,109,21,4,1,167
S01003362,306,161,120,17,8,0,178
S01003363,365,201,131,28,5,0,202
S01003364,332,225,87,17,3,0,130
S01003365,318,211,93,13,1,0,122
S01003366,422,300,107,12,2,1,142
S01003367,671,516,137,16,2,0,175
S01003368,921,623,263,29,5,1,350
S01003369,329,201,109,16,3,0,150
S01003370,390,230,131,28,1,0,190
S01003371,403,250,133,17,3,0,176
S01003372,282,138,103,31,9,1,196
S01003373,1454,992,398,56,7,1,536
S01003374,214,156,46,10,1,1,73
S01003375,414,150,195,59,8,2,345
S01003376,249,161,67,21,0,0,109
S01003377,353,173,146,28,5,1,221
S01003378,433,311,106,15,1,0,139
S01003379,277,213,53,11,0,0,75
S01003380,614,283,272,49,7,3,403
S01003381,356,157,133,60,5,1,273
S01003382,930,330,488,105,6,1,720
S01003383,461,240,173,42,3,3,281
S01003384,475,246,177,38,11,3,300
S01003385,456,242,172,39,3,0,259
S01003386,368,225,114,21,7,1,182
S01003387,455,299,140,16,0,0,172
S01003388,580,403,155,22,0,0,199
S01003389,610,440,161,9,0,0,179
S01003390,530,325,172,30,1,2,243
S01003391,405,278,118,8,1,0,137
S01003392,455,248,174,29,4,0,244
S01003393,432,247,148,33,4,0,226
S01003394,252,133,89,26,2,2,155
S01003395,353,188,145,17,3,0,188
S01003396,461,317,119,22,3,0,172
S01003397,444,292,121,23,7,1,198
S01003398,404,246,129,28,1,0,188
S01003399,685,468,187,24,5,1,255
S01003400,362,183,141,30,6,2,231
S01003401,360,270,77,13,0,0,103
S01003402,419,276,123,19,0,1,166
S01003403,608,349,212,37,9,1,317
S01003404,267,161,93,12,1,0,120
S01003405,374,197,130,39,7,1,233
S01003406,398,251,127,18,1,1,170
S01003407,425,218,174,29,4,0,244
S01003408,330,225,89,12,2,2,127
S01003409,783,311,374,88,4,6,588
S01003410,730,520,171,35,1,3,257
S01003411,433,257,150,24,1,1,205
S01003412,461,274,156,27,3,1,224
S01003413,296,126,121,40,8,1,229
S01003414,219,145,59,12,2,1,93
S01003415,468,372,90,6,0,0,102
S01003416,535,396,119,16,4,0,163
S01003417,562,319,201,42,0,0,285
S01003418,503,382,104,15,2,0,140
S01003419,431,298,105,24,3,1,166
S01003420,198,138,52,4,4,0,72
S01003421,419,224,155,36,4,0,239
S01003422,424,276,134,13,0,1,164
S01003423,466,266,179,19,2,0,223
S01003424,615,434,155,24,2,0,209
S01003425,420,224,165,29,1,1,231
S01003426,623,382,214,26,1,0,269
S01003427,491,281,168,32,9,1,264
S01003428,424,293,110,20,1,0,153
S01003429,365,165,164,33,2,1,240
S01003430,426,245,166,13,1,1,199
S01003431,481,291,167,22,0,1,215
S01003432,387,193,153,37,4,0,239
S01003433,555,366,161,23,1,4,228
S01003434,431,287,123,17,3,1,170
S01003435,318,214,83,16,4,1,131
S01003436,238,72,112,46,6,2,230
S01003437,349,142,153,43,8,3,277
S01003438,638,339,260,38,1,0,339
S01003439,817,624,176,17,0,0,210
S01003440,216,105,79,27,4,1,149
S01003441,762,531,210,18,3,0,255
S01003442,514,374,126,12,2,0,156
S01003443,476,356,107,11,2,0,135
S01003444,366,275,74,17,0,0,108
S01003445,485,320,134,26,3,2,204
S01003446,274,188,74,12,0,0,98
S01003447,526,429,90,4,3,0,107
S01003448,369,195,149,23,1,1,202
S01003449,417,250,147,20,0,0,187
S01003450,645,402,222,19,1,1,267
S01003451,517,286,197,31,2,1,270
S01003452,250,95,120,30,4,1,197
S01003453,658,200,348,94,10,6,596
S01003454,291,153,107,26,2,3,177
S01003455,382,278,78,25,1,0,131
S01003456,128,93,30,5,0,0,40
S01003457,577,443,124,10,0,0,144
S01003458,508,292,166,41,7,2,277
S01003459,367,211,117,37,1,1,198
S01003460,593,274,250,63,6,0,394
S01003461,331,146,128,47,8,2,254
S01003462,244,149,78,13,3,1,117
S01003463,294,241,47,5,0,1,61
S01003464,427,228,156,37,5,1,249
S01003465,1625,577,842,197,9,0,1263
S01003466,459,287,147,22,3,0,200
S01003467,347,182,134,29,1,1,199
S01003468,373,238,109,21,5,0,166
S01003469,584,368,183,28,5,0,254
S01003470,694,424,233,35,1,1,311
S01003471,315,205,90,17,3,0,133
S01003472,394,312,67,14,1,0,98
S01003473,593,413,161,17,2,0,201
S01003474,275,153,91,29,1,1,156
S01003475,432,294,114,21,3,0,165
S01003476,435,110,211,103,6,5,455
S01003477,716,399,279,36,2,0,357
S01003478,460,261,171,27,1,0,228
S01003479,498,298,172,28,0,0,228
S01003480,471,273,161,32,5,0,240
S01003481,585,337,196,48,4,0,304
S01003482,388,309,71,8,0,0,87
S01003483,271,158,85,25,3,0,144
S01003484,446,239,155,46,6,0,265
S01003485,409,190,178,35,6,0,266
S01003486,391,243,124,19,4,1,178
S01003487,481,293,153,29,6,0,229
S01003488,384,255,111,16,2,0,149
S01003489,602,325,215,56,5,1,346
S01003490,338,233,85,20,0,0,125
S01003491,44,32,11,1,0,0,13
S01003492,609,363,218,25,2,1,278
S01003493,490,298,173,18,1,0,212
S01003494,481,339,124,11,7,0,167
S01003495,481,279,157,38,7,0,254
S01003496,634,325,259,43,5,2,368
S01003497,521,242,226,49,3,1,337
S01003498,555,291,204,52,8,0,332
S01003499,637,358,246,30,3,0,315
S01003500,333,259,63,11,0,0,85
S01003501,367,214,123,25,5,0,188
S01003502,706,161,253,257,27,8,885
S01003503,388,162,175,44,7,0,284
S01003504,375,227,105,34,7,2,202
S01003506,514,218,245,45,5,1,354
S01003507,283,147,114,22,0,0,158
S01003508,516,338,153,20,4,1,210
S01003509,469,154,235,72,6,2,406
S01003510,241,131,95,15,0,0,125
S01003511,530,149,289,81,8,3,487
S01003512,361,218,130,12,1,0,157
S01003513,272,134,98,27,13,0,191
S01003514,418,219,142,45,12,0,268
S01003515,272,179,66,23,4,0,124
S01003516,307,66,160,70,9,2,336
S01003517,449,246,179,22,2,0,229
S01003518,621,374,214,30,3,0,283
S01003519,332,241,74,17,0,0,108
S01003520,400,179,158,52,9,2,297
S01003521,219,123,68,25,2,1,128
S01003522,435,202,175,53,4,1,297
S01003523,347,188,120,35,1,3,205
S01003524,561,156,284,104,17,0,543
S01003525,583,197,307,74,5,0,470
S01003526,461,166,227,62,4,2,371
S01003527,346,60,158,107,18,3,439
S01003528,192,57,91,39,3,2,186
S01003529,210,52,104,48,5,1,220
S01003530,428,161,221,42,4,0,317
S01003531,433,281,127,23,2,0,179
S01003532,483,158,206,100,16,3,466
S01003533,176,165,10,0,1,0,13
S01003534,565,320,217,28,0,0,273
S01003535,406,219,151,32,2,2,229
S01003536,513,149,256,91,13,4,495
S01003537,478,291,153,28,5,1,228
S01003538,286,159,108,14,4,1,152
S01003539,500,132,272,87,8,1,474
S01003540,264,185,64,13,1,1,97
S01003541,364,282,71,10,0,1,101
S01003542,406,104,220,72,8,2,396
S01003543,381,267,97,17,0,0,131
S01003544,226,71,121,31,3,0,192
S01003545,408,105,208,86,7,2,409
S01003546,541,365,152,23,1,0,201
S01003547,433,205,189,36,3,0,270
S01003549,381,259,107,13,2,0,139
S01003550,246,35,126,72,10,3,312
S01003551,355,219,114,19,3,0,161
S01003552,615,209,317,81,6,2,507
S01003553,356,263,77,11,5,0,114
S01003554,408,161,204,41,2,0,292
S01003555,335,88,179,53,11,4,335
S01003556,258,32,117,95,13,1,350
S01003557,365,268,88,3,6,0,112
S01003558,509,118,282,96,13,0,513
S01003559,388,56,204,115,10,3,479
S01003560,608,128,339,119,20,2,645
S01003561,550,367,153,23,7,0,220
S01003562,331,224,100,6,1,0,115
S01003563,234,146,69,16,2,1,111
S01003564,351,251,93,6,1,0,108
S01003565,452,311,120,19,2,0,164
S01003566,394,191,168,35,0,0,238
S01003567,469,352,104,9,3,1,135
S01003568,355,69,190,82,13,1,397
S01003569,290,83,111,80,11,5,325
S01003570,319,115,116,83,5,0,297
S01003571,464,263,176,22,2,1,231
S01003572,559,400,140,18,1,0,179
S01003573,476,263,188,24,1,0,239
S01003574,549,195,282,63,9,0,435
S01003575,451,286,145,20,0,0,185
S01003576,424,121,212,86,4,1,401
S01003577,391,163,158,64,5,1,305
S01003578,94,48,38,8,0,0,54
S01003579,425,333,81,11,0,0,103
S01003580,587,336,211,33,7,0,298
S01003581,711,378,279,51,0,3,393
S01003582,416,346,62,8,0,0,78
S01003583,280,164,101,11,2,2,143
S01003584,338,258,67,13,0,0,93
S01003585,437,285,122,29,1,0,183
S01003586,499,289,160,40,7,3,275
S01003587,365,27,169,150,17,2,529
S01003588,294,60,150,72,10,2,333
S01003589,507,95,272,125,15,0,567
S01003590,383,200,156,25,2,0,212
S01003591,493,60,222,169,31,11,703
S01003592,713,392,260,60,1,0,383
S01003593,291,133,126,28,3,1,195
S01003594,449,63,242,120,18,6,561
S01003595,455,324,108,18,5,0,159
S01003596,611,502,100,7,2,0,120
S01003597,340,56,177,90,12,5,414
S01003598,305,168,102,30,5,0,177
S01003599,445,189,178,62,11,5,357
S01003600,507,364,123,14,6,0,169
S01003601,406,266,130,7,1,2,155
S01003602,268,130,102,30,6,0,180
S01003603,438,276,129,24,8,1,216
S01003604,432,259,160,11,2,0,188
S01003605,372,250,93,26,3,0,154
S01003606,416,201,159,48,7,1,280
S01003607,212,91,93,24,3,1,154
S01003608,269,147,94,24,3,1,155
S01003609,497,141,232,113,9,2,493
S01003610,512,253,220,35,4,0,302
S01003611,492,347,123,16,5,1,174
S01003612,476,159,252,53,11,1,395
S01003613,557,50,244,200,49,14,851
S01003614,272,102,111,56,2,1,233
S01003615,370,199,128,40,3,0,217
S01003616,294,25,118,129,17,5,447
S01003617,499,407,84,8,0,0,100
S01003618,376,129,178,57,9,3,331
S01003619,456,344,106,6,0,0,118
S01003620,502,119,273,97,9,4,511
S01003621,501,284,189,23,5,0,250
S01003622,408,199,162,41,5,1,263
S01003623,337,50,167,104,13,3,427
S01003624,652,314,248,81,9,0,437
S01003625,188,100,78,10,0,0,98
S01003626,329,60,165,84,19,1,394
S01003627,361,262,88,8,1,2,119
S01003628,274,140,99,30,5,0,174
S01003629,403,220,150,32,0,1,220
S01003630,411,237,135,35,4,0,217
S01003631,594,178,289,110,10,7,568
S01003632,417,119,208,73,15,2,407
S01003633,713,277,332,93,9,2,560
S01003634,394,202,145,41,5,1,246
S01003635,405,251,140,12,1,1,172
S01003636,520,336,153,27,4,0,219
S01003637,523,216,216,73,13,5,421
S01003638,394,123,192,66,11,2,365
S01003639,370,161,168,37,4,0,254
S01003640,487,271,172,38,6,0,266
S01003641,266,23,128,101,10,4,377
S01003642,383,163,159,54,7,0,288
S01003643,308,125,148,31,3,1,223
S01003644,468,266,162,36,4,0,246
S01003645,258,114,113,26,5,0,180
S01003646,437,352,72,9,4,0,102
S01003647,354,144,155,45,8,2,277
S01003648,431,209,187,34,1,0,258
S01003649,396,133,175,72,10,6,373
S01003650,402,266,114,20,1,1,163
S01003651,386,211,134,36,5,0,221
S01003652,375,229,126,18,2,0,168
S01003653,279,143,105,24,4,3,179
S01003654,404,211,134,46,10,3,269
S01003655,260,134,93,30,3,0,162
S01003656,398,188,164,41,4,1,262
S01003657,345,189,127,24,3,2,192
S01003658,360,114,152,77,14,3,361
S01003659,435,185,210,37,3,0,293
S01003660,336,23,130,149,30,4,534
S01003661,451,82,270,85,10,4,486
S01003662,340,185,114,30,9,2,209
S01003663,340,225,90,23,2,0,142
S01003664,276,176,90,8,2,0,112
S01003665,367,308,51,7,1,0,68
S01003666,299,187,92,20,0,0,132
S01003667,329,98,132,70,22,7,370
S01003668,364,159,156,44,4,1,260
S01003669,433,193,195,42,3,0,288
S01003670,475,290,155,24,5,1,222
S01003671,316,149,141,23,2,1,197
S01003672,356,235,103,17,1,0,140
S01003673,195,152,41,2,0,0,45
S01003674,407,194,165,41,6,1,269
S01003675,458,140,221,82,14,1,431
S01003676,674,167,388,106,13,0,639
S01003677,284,160,95,20,8,1,163
S01003678,289,135,105,38,8,3,218
S01003679,521,298,164,50,8,1,292
S01003680,278,140,112,24,2,0,166
S01003681,313,138,134,32,9,0,225
S01003682,410,110,197,88,11,4,422
S01003683,285,107,127,45,6,0,235
S01003684,354,144,152,53,4,1,276
S01003685,228,79,102,40,4,3,206
S01003686,443,244,146,45,5,3,268
S01003687,379,279,87,13,0,0,113
S01003688,443,248,155,34,5,1,242
S01003689,267,152,89,20,5,1,148
S01003690,604,430,151,21,2,0,199
S01003691,461,144,223,78,15,1,428
S01003692,512,216,246,44,5,1,353
S01003693,246,100,108,30,6,2,194
S01003694,396,122,179,76,11,8,402
S01003695,466,260,172,32,2,0,242
S01003696,526,210,247,65,4,0,389
S01003697,371,57,160,116,29,9,517
S01003698,432,163,173,79,14,3,385
S01003699,365,70,167,107,15,6,450
S01003700,483,238,196,44,5,0,299
S01003701,628,358,236,31,1,2,311
S01003702,338,200,112,19,5,2,175
S01003703,450,257,162,22,7,2,235
S01003704,321,211,91,17,2,0,131
S01003705,417,284,108,22,3,0,161
S01003706,308,208,71,23,5,1,136
S01003707,398,235,120,37,5,1,213
S01003708,439,337,87,14,1,0,118
S01003709,451,380,65,5,1,0,78
S01003710,579,314,168,78,15,4,385
S01003711,448,281,149,16,2,0,187
S01003712,430,229,139,52,9,1,274
S01003713,227,162,49,16,0,0,81
S01003714,252,115,96,35,6,0,184
S01003715,331,124,148,52,7,0,273
S01003716,255,165,76,12,1,1,111
S01003717,357,207,127,21,2,0,175
S01003718,285,140,99,40,6,0,197
S01003719,259,15,116,90,29,9,421
S01003720,449,56,219,132,34,8,627
S01003721,364,58,175,105,21,5,468
S01003722,455,147,210,76,20,2,435
S01003723,234,21,98,84,22,9,368
S01003724,339,115,145,66,11,2,319
S01003725,270,60,131,67,7,5,307
S01003726,293,72,139,70,9,3,319
S01003727,282,75,134,65,6,2,292
S01003728,244,28,105,86,18,7,365
S01003729,362,117,161,67,15,2,348
S01003730,258,112,99,42,4,1,199
S01003731,283,106,122,47,5,3,243
S01003732,410,98,216,84,9,3,425
S01003733,369,107,192,57,11,2,347
S01003734,287,78,150,47,8,4,286
S01003735,340,71,160,86,16,7,424
S01003736,350,119,161,57,8,5,322
S01003737,281,85,132,51,10,3,278
S01003738,300,37,130,99,23,11,442
S01003739,247,31,118,80,13,5,338
S01003740,265,21,106,109,28,1,412
S01003741,393,38,152,162,31,10,619
S01003742,283,28,127,100,21,7,426
S01003743,245,14,121,76,28,6,386
S01003744,278,21,128,103,21,5,421
S01003745,345,76,180,76,12,1,372
S01003746,380,77,165,108,26,4,479
S01003747,496,76,263,113,30,14,641
S01003748,272,58,141,59,12,2,303
S01003749,374,63,187,93,22,9,486
S01003750,305,19,146,108,25,7,466
S01003751,496,78,259,131,21,7,616
S01003752,392,50,200,120,15,7,524
S01003753,503,69,264,133,31,6,650
S01003754,397,124,198,65,8,2,361
S01003755,667,144,353,126,34,10,750
S01003756,388,60,170,115,33,10,552
S01003757,266,31,131,71,24,9,387
S01003758,430,45,200,137,30,18,645
S01003759,298,29,152,92,21,4,418
S01003760,362,30,168,126,31,7,542
S01003761,419,57,181,148,26,7,585
S01003762,453,29,182,174,47,21,761
S01003763,419,74,211,103,25,6,517
S01003764,370,59,183,87,26,15,504
S01003765,321,101,152,56,10,2,309
S01003766,344,87,161,74,18,4,379
S01003767,369,70,196,78,21,4,434
S01003768,273,32,103,109,20,9,425
S01003769,416,79,178,125,23,11,545
S01003770,337,14,116,150,37,20,623
S01003771,313,15,143,118,27,10,509
S01003772,255,15,108,94,28,10,421
S01003773,296,35,148,84,23,6,412
S01003774,329,48,138,118,22,3,452
S01003775,380,23,148,159,27,23,653
S01003776,288,15,115,114,35,9,485
S01003777,430,43,152,155,51,29,749
S01003778,1268,98,640,449,59,22,1813
S01003779,224,19,108,69,19,9,344
S01003780,379,12,116,178,54,19,717
S01003781,508,54,284,146,20,4,656
S01003782,261,7,97,92,47,18,505
S01003783,505,90,266,123,20,6,622
S01003784,642,47,276,244,54,21,1022
S01003785,369,52,189,102,20,6,478
S01003786,387,48,201,108,23,7,517
S01003787,262,32,141,71,15,3,341
S01003788,302,39,163,84,13,3,382
S01003789,193,11,96,74,11,1,281
S01003790,242,84,112,39,7,0,211
S01003791,383,83,199,87,12,2,418
S01003792,962,114,521,282,34,11,1239
S01003793,264,121,120,21,2,0,168
S01003794,318,48,165,83,16,6,408
S01003795,276,11,113,120,23,9,460
S01003796,306,156,116,26,5,3,196
S01003797,496,183,243,61,8,1,393
S01003798,346,50,152,120,18,6,473
S01003799,307,27,175,87,14,4,410
S01003800,315,90,153,61,9,2,311
S01003801,371,113,190,57,10,1,339
S01003802,316,58,187,64,7,0,336
S01003803,296,30,116,106,28,16,483
S01003804,299,89,146,56,7,1,283
S01003805,578,241,237,82,14,4,460
S01003806,341,113,148,62,16,2,328
S01003807,360,41,204,98,14,3,454
S01003808,386,102,194,76,9,5,395
S01003809,295,94,136,59,5,1,274
S01003810,368,50,169,119,24,6,505
S01003811,293,20,147,96,19,11,441
S01003812,486,188,228,55,7,8,395
S01003813,359,61,197,78,15,8,433
S01003814,333,41,166,103,20,3,447
S01003815,401,136,194,61,6,4,357
S01003816,440,44,246,126,18,6,577
S01003817,476,228,191,50,5,2,316
S01003818,351,146,139,59,5,2,281
S01003819,921,67,410,372,55,17,1391
S01003820,472,165,234,59,13,1,395
S01003821,348,111,174,53,10,0,310
S01003822,244,91,111,39,3,0,198
S01003823,445,147,203,75,13,7,420
S01003824,411,165,189,44,10,3,319
S01003825,278,45,164,60,9,0,311
S01003826,357,102,168,71,12,4,364
S01003827,386,100,204,66,13,3,387
S01003828,453,51,217,148,30,7,631
S01003829,264,99,106,45,13,1,239
S01003830,354,109,164,64,11,6,350
S01003831,300,53,163,66,12,6,355
S01003832,432,126,210,67,22,7,440
S01003833,352,201,127,21,3,0,178
S01003834,306,80,151,66,6,3,314
S01003835,278,47,159,54,17,1,322
S01003836,305,74,180,45,5,1,289
S01003837,417,181,184,42,6,4,305
S01003838,203,39,96,52,13,3,251
S01003839,333,171,130,27,4,1,201
S01003840,306,49,169,68,16,4,371
S01003841,294,37,135,91,20,11,439
S01003842,310,20,144,116,26,4,470
S01003843,381,26,125,165,41,24,680
S01003844,325,43,163,90,22,7,439
S01003845,555,270,225,51,8,1,371
S01003846,378,47,217,87,20,7,484
S01003847,285,67,138,65,13,2,315
S01003848,287,37,140,92,16,2,381
S01003849,531,324,160,42,5,0,259
S01003850,243,31,146,55,9,2,293
S01003851,326,21,134,140,23,8,517
S01003852,280,64,146,57,11,2,302
S01003853,687,402,226,55,4,0,348
S01003854,307,93,123,79,8,4,327
S01003855,451,248,162,36,5,0,249
S01003856,336,105,165,55,9,2,310
S01003857,334,29,135,118,33,19,564
S01003858,222,52,121,44,4,1,225
S01003859,236,19,121,89,6,1,321
S01003860,346,238,86,19,3,0,133
S01003861,398,49,233,89,23,4,496
S01003862,287,142,113,24,7,1,187
S01003863,284,23,122,106,24,9,448
S01003864,415,54,196,127,30,8,576
S01003865,391,33,142,156,45,15,672
S01003866,398,35,180,144,29,10,604
S01003867,593,130,279,151,27,6,686
S01003868,287,20,101,124,32,10,490
S01003869,335,35,171,98,24,7,470
S01003870,429,53,206,131,26,13,601
S01003871,361,36,171,115,28,11,537
S01003872,375,20,161,122,53,19,650
S01003873,458,30,206,166,42,14,722
S01003874,295,17,120,113,31,14,503
S01003875,299,18,140,112,21,8,461
S01003876,269,13,82,122,41,11,494
S01003877,265,12,95,90,41,27,517
S01003878,467,108,228,96,29,6,533
S01003879,319,32,137,112,30,8,485
S01003880,394,76,184,112,13,9,486
S01003881,354,29,151,126,38,10,561
S01003882,269,124,99,34,10,2,207
S01003883,236,40,103,70,17,6,328
S01003884,316,81,142,76,14,3,352
S01003885,276,67,119,67,18,5,332
S01003886,211,66,89,46,8,2,213
S01003887,410,161,173,60,13,3,344
S01003888,633,41,280,263,39,10,967
S01003889,252,48,117,68,12,7,322
S01003890,291,34,158,72,20,7,394
S01003891,314,40,174,84,11,5,395
S01003892,278,72,133,60,11,2,294
S01003893,296,27,152,92,19,6,419
S01003894,450,143,218,79,7,3,411
S01003895,299,34,124,109,23,9,451
S01003896,301,32,131,107,24,7,446
S01003897,336,64,131,115,21,5,448
S01003898,351,72,164,94,16,5,420
S01003899,385,88,203,80,12,2,407
S01003900,396,113,211,64,7,1,364
S01003901,282,39,141,79,15,8,377
S01003902,402,55,165,134,34,14,593
S01003903,329,17,105,140,44,23,617
S01003904,444,150,221,56,17,0,384
S01003905,447,21,154,204,44,24,796
S01003906,340,105,167,50,14,4,330
S01003907,380,161,161,46,9,3,292
S01003908,322,75,162,70,9,6,355
S01003909,272,33,141,79,13,6,364
S01003910,269,63,132,55,15,4,305
S01003911,273,41,118,87,22,5,380
S01003912,393,56,177,122,29,9,553
S01003913,304,21,122,105,40,16,526
S01003914,423,55,203,126,29,10,583
S01003915,338,33,166,119,16,4,468
S01003916,343,13,125,148,45,12,608
S01003917,399,85,187,94,26,7,483
S01003918,394,58,175,125,29,7,540
S01003919,327,104,153,54,13,3,312
S01003920,308,94,145,55,9,5,303
S01003921,487,143,218,104,18,4,497
S01003922,362,123,154,65,13,7,353
S01003923,273,79,141,42,9,2,260
S01003924,260,120,115,21,3,1,170
S01003925,344,71,180,71,20,2,390
S01003926,246,100,99,42,4,1,199
S01003927,296,29,110,120,22,15,482
S01003928,334,89,162,65,17,1,347
S01003929,235,60,118,48,7,2,244
S01003930,388,105,201,68,12,2,381
S01003931,462,89,238,110,18,7,547
S01003932,364,53,162,109,27,13,525
S01003933,309,35,155,86,23,10,437
S01003934,441,40,178,163,49,11,697
S01003935,357,76,159,91,22,9,447
S01003936,417,22,173,152,46,24,721
S01003937,333,117,146,56,12,2,302
