"dz_2001","total","employed","unemployed","student","retired","homemaker","sick","inactive_other"
"S01000537",441,293,5,26,47,29,28,13
"S01000538",578,361,17,27,82,35,30,26
"S01000539",768,467,31,29,133,32,53,23
"S01000540",559,346,8,35,70,35,41,24
"S01000541",370,217,10,16,53,22,38,14
"S01000542",466,241,13,13,102,37,34,26
"S01000543",573,336,10,24,80,56,36,31
"S01000544",524,302,10,22,78,50,33,29
"S01000545",512,317,14,20,61,38,44,18
"S01000546",439,243,16,20,73,31,33,23
"S01000547",394,238,8,9,67,27,31,14
"S01000548",740,427,21,22,131,49,63,27
"S01000549",786,533,16,48,65,68,33,23
"S01000550",394,253,9,25,52,39,5,11
"S01000551",573,321,17,30,112,27,43,23
"S01000552",421,272,11,14,69,34,14,7
"S01000553",642,387,20,37,112,41,26,19
"S01000554",546,343,14,28,24,42,60,35
"S01000555",640,366,18,24,140,36,39,17
"S01000556",624,399,19,35,50,41,55,25
"S01000557",630,395,13,35,106,31,31,19
"S01000558",403,240,11,24,80,23,14,11
"S01000559",496,275,11,18,104,30,38,20
"S01000560",791,485,24,32,81,51,84,34
"S01000561",705,427,17,41,127,35,37,21
"S01000562",661,380,33,21,93,34,59,41
"S01000563",495,281,23,23,70,19,48,31
"S01000564",611,297,33,24,72,52,89,44
"S01000565",505,285,19,25,78,37,43,18
"S01000566",579,299,23,30,78,48,62,39
"S01000567",552,318,29,19,71,31,58,26
"S01000568",383,239,8,13,63,22,26,12
"S01000569",549,335,17,30,119,15,17,16
"S01000570",710,403,16,58,173,25,22,13
"S01000571",499,305,14,25,101,17,22,15
"S01000572",603,385,14,37,118,17,21,11
"S01000573",427,308,16,28,44,21,8,2
"S01000574",610,317,12,41,183,32,14,11
"S01000575",426,241,11,20,114,17,14,9
"S01000576",503,327,10,32,87,18,20,9
"S01000577",424,272,8,39,76,13,11,5
"S01000578",507,315,10,33,103,19,19,8
"S01000579",533,379,9,31,65,14,28,7
"S01000580",504,367,10,31,53,23,11,9
"S01000581",535,338,12,38,110,18,17,2
"S01000582",522,345,35,41,37,28,22,14
"S01000583",559,391,17,34,63,17,23,14
"S01000584",573,310,28,41,97,40,43,14
"S01000585",693,421,13,50,115,34,36,24
"S01000586",576,398,23,37,57,21,25,15
"S01000587",508,304,18,30,84,22,35,15
"S01000588",447,284,16,37,72,27,4,7
"S01000589",495,286,7,29,119,20,19,15
"S01000590",542,353,16,27,89,24,21,12
"S01000591",375,245,5,27,56,10,26,6
"S01000592",712,438,25,54,132,26,24,13
"S01000593",438,298,15,28,53,22,13,9
"S01000594",434,299,11,25,47,13,27,12
"S01000595",575,391,17,52,74,21,14,6
"S01000596",727,469,12,81,108,33,14,10
"S01000597",783,497,13,79,114,44,24,12
"S01000598",382,273,9,13,54,8,13,12
"S01000599",577,359,17,34,101,22,25,19
"S01000600",565,398,12,16,82,22,27,8
"S01000601",847,511,19,43,112,34,105,23
"S01000602",521,351,12,18,86,18,22,14
"S01000603",625,406,12,39,85,36,28,19
"S01000604",733,503,19,55,90,34,22,10
"S01000605",605,371,11,40,83,24,49,27
"S01000606",554,290,36,39,88,37,49,15
"S01000607",582,279,23,31,179,30,21,19
"S01000608",774,409,75,36,100,46,68,40
"S01000609",699,344,63,41,102,52,58,39
"S01000610",555,266,52,28,104,31,40,34
"S01000611",437,231,38,24,82,30,23,9
"S01000612",760,445,49,32,116,35,48,35
"S01000613",745,462,23,50,121,40,35,14
"S01000614",510,337,11,31,83,17,22,9
"S01000615",531,239,59,20,117,22,54,20
"S01000616",1010,695,38,37,109,60,30,41
"S01000617",474,279,12,19,99,29,18,18
"S01000618",591,336,9,30,147,29,27,13
"S01000619",491,308,19,24,69,33,26,12
"S01000620",574,261,59,40,73,54,51,36
"S01000621",759,409,23,47,175,30,54,21
"S01000622",355,175,27,23,24,49,38,19
"S01000623",522,295,20,42,78,30,40,17
"S01000624",446,255,13,41,75,21,25,16
"S01000625",423,207,39,23,63,44,30,17
"S01000626",556,258,64,38,52,67,51,26
"S01000627",698,438,30,49,81,39,38,23
