dz_2011,total,white,pakistani,chinese,other
S01007307,1088,1068,3,1,16
S01007308,882,876,0,0,6
S01007309,815,809,0,0,6
S01007310,865,858,0,0,7
S01007311,926,907,0,0,19
S01007312,862,854,0,3,5
S01007313,972,962,0,0,10
S01007314,875,867,1,1,6
S01007315,940,935,0,0,5
S01007316,1141,1131,1,0,9
S01007317,1153,1137,2,1,13
S01007318,607,592,1,0,14
S01007319,857,851,0,1,5
S01007320,894,880,0,0,14
S01007321,595,592,0,0,3
S01007322,836,830,0,2,4
S01007323,449,444,0,0,5
S01007324,328,321,0,0,7
S01007325,833,822,0,3,8
S01007326,970,963,0,0,7
S01007327,886,881,1,1,3
S01007328,1077,1074,0,0,3
S01007329,702,699,0,0,3
S01007330,778,773,1,0,4
S01007331,1082,1070,0,0,12
S01007332,624,622,0,0,2
S01007333,1123,1114,1,0,8
S01007334,995,976,5,0,14
S01007335,898,892,1,2,3
S01007336,762,746,4,1,11
S01007337,658,657,0,0,1
S01007338,1084,1075,0,4,5
S01007339,854,841,3,3,7
S01007340,664,661,0,1,2
S01007341,853,848,1,2,2
S01007342,826,821,0,0,5
S01007343,651,645,1,1,4
S01007344,579,574,0,0,5
S01007345,691,684,0,0,7
S01007346,834,824,2,1,7
S01007347,1056,1049,0,1,6
S01007348,802,797,0,0,5
S01007349,687,684,0,1,2
S01007350,661,661,0,0,0
S01007351,658,653,0,2,3
S01007352,498,494,0,1,3
S01007353,791,782,0,1,8
S01007354,786,781,1,0,4
S01007355,1326,1322,0,0,4
S01007356,714,708,0,1,5
S01007357,803,784,0,5,14
S01007358,1442,1425,1,5,11
S01007359,999,990,0,1,8
S01007360,906,893,0,0,13
S01007361,1043,1024,0,5,14
S01007362,1162,1152,0,0,10
S01007363,1008,1001,0,0,7
S01007364,1093,1086,0,0,7
S01007365,478,473,0,0,5
S01007366,550,543,0,0,7
S01007367,629,621,0,0,8
S01007368,659,652,0,0,7
S01007369,1138,1124,0,5,9
S01007370,917,901,1,0,15
S01007371,958,944,0,1,13
S01007372,1250,1226,1,1,22
S01007373,704,702,0,1,1
S01007374,810,804,0,1,5
S01007375,464,456,0,0,8
S01007376,1015,1005,0,2,8
S01007377,664,656,0,0,8
S01007378,1716,1696,0,4,16
S01007379,925,919,0,2,4
S01007380,846,833,0,1,12
S01007381,512,504,0,1,7
S01007382,990,985,0,0,5
S01007383,749,747,0,0,2
S01007384,1075,1068,0,0,7
S01007385,1228,1212,0,1,15
S01007386,806,786,1,2,17
