"dz_2011","total","house","flat","caravan","shared"
"S01007015",648,645,3,0,0
"S01007016",538,528,10,0,0
"S01007017",984,794,190,0,0
"S01007018",892,826,58,0,8
"S01007019",658,635,23,0,0
"S01007020",592,414,178,0,0
"S01007021",794,743,51,0,0
"S01007022",93,92,1,0,0
"S01007023",824,784,34,3,3
"S01007024",955,932,13,10,0
"S01007025",584,555,29,0,0
"S01007026",681,570,111,0,0
"S01007027",892,850,42,0,0
"S01007028",856,847,9,0,0
"S01007029",560,529,27,4,0
"S01007030",733,689,44,0,0
"S01007031",557,525,29,3,0
"S01007032",1096,817,279,0,0
"S01007033",782,705,77,0,0
"S01007034",440,341,99,0,0
"S01007035",792,676,109,0,7
"S01007036",785,738,47,0,0
"S01007037",883,801,82,0,0
"S01007038",910,766,144,0,0
"S01007039",487,450,37,0,0
"S01007040",672,606,64,0,2
"S01007041",454,359,95,0,0
"S01007042",342,325,17,0,0
"S01007043",1294,1235,51,8,0
"S01007044",553,515,38,0,0
"S01007045",903,877,16,5,5
"S01007046",523,520,3,0,0
"S01007047",766,754,5,7,0
"S01007048",1186,1171,13,2,0
"S01007049",773,733,39,1,0
"S01007050",386,367,19,0,0
"S01007051",630,551,79,0,0
"S01007052",556,538,11,7,0
"S01007053",424,408,11,5,0
"S01007054",732,695,37,0,0
"S01007055",620,604,10,6,0
"S01007056",793,784,4,5,0
"S01007057",383,381,2,0,0
"S01007058",621,587,33,1,0
"S01007059",871,853,18,0,0
"S01007060",607,599,8,0,0
"S01007061",853,843,6,4,0
"S01007062",629,615,7,7,0
"S01007063",584,569,15,0,0
"S01007064",637,623,9,5,0
"S01007065",498,483,15,0,0
"S01007066",1178,1118,60,0,0
"S01007067",645,545,100,0,0
"S01007068",533,521,12,0,0
"S01007069",855,828,22,5,0
"S01007070",446,425,21,0,0
"S01007071",386,364,22,0,0
"S01007072",689,685,3,1,0
"S01007073",923,910,13,0,0
"S01007074",693,559,134,0,0
"S01007075",695,618,77,0,0
"S01007076",1028,1018,10,0,0
"S01007077",777,760,17,0,0
"S01007078",931,707,224,0,0
"S01007079",915,565,350,0,0
"S01007080",972,700,272,0,0
"S01007081",954,667,287,0,0
"S01007082",566,409,157,0,0
"S01007083",782,493,289,0,0
"S01007084",620,375,245,0,0
"S01007085",886,343,537,1,5
"S01007086",813,161,649,3,0
"S01007087",630,286,342,2,0
"S01007088",589,163,426,0,0
"S01007089",707,685,14,4,4
"S01007090",541,500,41,0,0
"S01007092",703,648,50,5,0
"S01007093",1080,1034,46,0,0
"S01007094",905,903,2,0,0
"S01007095",649,638,8,3,0
"S01007096",603,568,26,9,0
"S01007097",286,282,4,0,0
"S01007098",364,360,4,0,0
"S01007099",654,627,27,0,0
"S01007100",757,738,18,1,0
"S01007101",586,556,30,0,0
"S01007102",824,808,12,4,0
"S01007103",543,542,1,0,0
"S01007104",1150,1128,14,8,0
"S01007105",436,421,15,0,0
"S01007106",625,616,7,2,0
"S01007107",428,413,15,0,0
"S01007108",990,966,20,4,0
"S01007109",395,365,30,0,0
"S01007110",611,534,75,2,0
"S01007111",485,448,37,0,0
"S01007112",637,619,18,0,0
"S01007113",429,285,144,0,0
"S01007114",867,865,2,0,0
"S01007115",605,601,4,0,0
"S01007116",473,467,6,0,0
"S01007117",557,557,0,0,0
"S01007118",791,758,33,0,0
"S01007119",880,872,8,0,0
"S01007120",966,906,60,0,0
"S01007121",499,225,270,4,0
"S01007122",585,353,232,0,0
"S01007123",655,550,105,0,0
"S01007124",880,872,8,0,0
"S01007125",836,705,127,1,3
"S01007126",860,613,247,0,0
"S01007127",455,248,206,1,0
"S01007128",909,716,193,0,0
"S01007129",681,675,6,0,0
"S01007130",583,499,84,0,0
"S01007131",496,456,40,0,0
"S01007132",707,685,22,0,0
"S01007133",525,507,18,0,0
"S01007134",679,639,24,16,0
"S01007135",462,429,33,0,0
"S01007136",192,183,9,0,0
"S01007137",65,63,2,0,0
"S01007138",454,418,36,0,0
"S01007139",741,736,4,1,0
"S01007140",822,813,8,1,0
"S01007141",580,574,6,0,0
"S01007144",1120,1081,36,3,0
"S01007145",939,879,60,0,0
"S01007146",876,782,94,0,0
"S01007147",666,629,37,0,0
"S01007148",600,600,0,0,0
"S01007149",805,795,8,2,0
"S01007150",786,638,148,0,0
"S01007151",536,526,10,0,0
"S01007152",671,587,84,0,0
"S01007153",706,693,13,0,0
"S01007154",770,324,446,0,0
"S01007155",503,444,59,0,0
"S01007156",614,600,14,0,0
