"dz_2011","total","llti","no_llti"
"S01007625",537,67,470
"S01007626",328,20,308
"S01007627",372,49,323
"S01007628",673,114,559
"S01007629",613,100,513
"S01007630",833,127,706
"S01007631",593,112,481
"S01007632",907,175,732
"S01007633",1045,191,854
"S01007634",564,98,466
"S01007635",542,130,412
"S01007636",776,204,572
"S01007637",913,182,731
"S01007638",771,153,618
"S01007639",1007,142,865
"S01007640",582,94,488
"S01007641",679,126,553
"S01007642",795,179,616
"S01007643",839,182,657
"S01007644",608,107,501
"S01007645",565,86,479
"S01007646",672,126,546
"S01007647",768,123,645
"S01007648",862,144,718
"S01007649",790,139,651
"S01007650",942,192,750
"S01007651",745,130,615
"S01007652",397,84,313
"S01007653",823,127,696
"S01007654",1031,237,794
"S01007655",777,125,652
"S01007656",848,146,702
"S01007657",507,72,435
"S01007658",494,102,392
"S01007659",871,173,698
"S01007660",627,137,490
"S01007661",572,116,456
"S01007662",849,219,630
"S01007663",853,167,686
"S01007664",576,150,426
"S01007665",592,112,480
"S01007666",229,47,182
"S01007667",535,107,428
"S01007668",1080,260,820
"S01007669",665,115,550
"S01007670",685,114,571
"S01007671",679,145,534
"S01007672",906,161,745
"S01007673",688,119,569
