dz_2011,total,house,flat,caravan,shared
S01007334,995,513,482,0,0
S01007335,898,603,295,0,0
S01007336,724,171,553,0,0
S01007337,654,309,345,0,0
S01007338,1084,1052,30,2,0
S01007339,841,652,187,2,0
S01007340,662,400,262,0,0
S01007341,843,379,464,0,0
S01007342,797,534,262,0,1
S01007343,649,576,73,0,0
S01007344,574,266,308,0,0
S01007345,691,248,443,0,0
S01007346,824,160,664,0,0
S01007347,1049,526,523,0,0
S01007348,792,505,287,0,0
S01007349,687,326,361,0,0
S01007350,638,167,471,0,0
S01007351,650,504,142,2,2
S01007352,488,448,28,12,0
S01007353,791,675,114,2,0
S01007354,786,476,310,0,0
S01007355,1295,1147,143,5,0
S01007356,714,624,88,2,0
S01007357,793,740,53,0,0
S01007358,1333,1211,114,8,0
S01007359,972,810,160,2,0
S01007360,866,687,174,5,0
S01007361,983,632,340,11,0
S01007362,1104,629,475,0,0
S01007363,1000,734,264,0,2
S01007364,1093,817,271,3,2
S01007365,467,342,125,0,0
S01007366,550,355,195,0,0
S01007367,623,356,266,1,0
S01007368,659,592,67,0,0
S01007369,1138,750,388,0,0
S01007370,915,391,523,1,0
S01007371,947,575,370,0,2
S01007372,1163,924,237,0,2
S01007373,703,554,89,60,0
S01007374,810,633,177,0,0
S01007375,464,363,78,23,0
S01007376,1010,855,155,0,0
S01007377,664,583,81,0,0
S01007378,807,714,93,0,0
S01007379,925,844,81,0,0
S01007380,844,768,74,2,0
S01007381,470,415,55,0,0
S01007382,984,763,221,0,0
S01007383,749,556,193,0,0
S01007384,1074,842,174,58,0
S01007385,1228,911,317,0,0
S01007386,806,691,114,1,0
S01007387,839,774,65,0,0
S01007388,741,730,11,0,0
S01007389,763,742,21,0,0
S01007390,727,710,17,0,0
S01007391,664,637,27,0,0
S01007392,450,343,107,0,0
S01007393,876,647,229,0,0
S01007394,702,358,344,0,0
S01007395,1054,262,792,0,0
S01007396,1044,152,890,0,2
S01007397,937,523,414,0,0
