output_area,total,non_catholic_christian,catholic_christian,jewish,muslim,none,other
S00089454,76,22,9,0,0,37,8
S00089455,93,27,6,0,4,45,11
S00089456,128,31,6,0,3,61,27
S00089457,85,27,9,1,1,36,11
S00089458,79,15,14,0,4,38,8
S00089459,61,11,6,0,1,32,11
S00089460,84,44,4,0,1,26,9
S00089461,104,24,11,0,0,55,14
S00089462,87,18,11,0,4,41,13
S00089463,132,23,8,0,2,86,13
S00089464,133,30,10,1,9,71,12
S00089465,84,33,8,0,0,39,4
S00089466,98,40,11,0,8,36,3
S00089467,82,24,7,0,2,44,5
S00089468,68,20,11,1,3,32,1
S00089469,114,24,7,0,11,62,10
S00089470,72,13,15,0,4,39,1
S00089471,73,18,15,0,1,33,6
S00089472,83,18,8,0,1,53,3
S00089473,94,15,8,0,0,66,5
S00089474,129,28,12,1,9,65,14
S00089475,70,20,10,0,1,33,6
S00089476,59,17,3,0,0,26,13
S00089477,104,15,12,1,9,54,13
S00089478,100,22,14,0,1,50,13
S00089479,71,12,4,0,8,42,5
S00089480,68,16,8,0,4,36,4
S00089481,123,32,15,0,3,60,13
S00089482,72,20,5,0,2,39,6
S00089483,87,23,8,0,6,40,10
S00089484,109,33,5,0,4,60,7
S00089485,68,16,13,0,1,31,7
S00089486,101,41,8,0,4,36,12
S00089487,80,28,6,0,3,33,10
S00089488,122,43,14,0,2,53,10
S00089489,131,41,11,1,5,62,11
S00089490,250,62,30,0,7,126,25
S00089491,109,27,11,0,4,62,5
S00089492,71,26,12,0,0,29,4
S00089493,74,22,9,0,1,33,9
S00089494,74,23,8,0,2,35,6
S00089495,69,16,10,0,15,23,5
S00089496,68,12,12,0,6,32,6
S00089497,213,57,23,1,4,96,32
S00089498,124,17,15,0,7,70,15
S00089499,71,18,16,0,0,37,0
S00089500,91,21,7,0,2,53,8
S00089501,146,27,24,0,1,79,15
S00089502,135,17,18,0,0,89,11
S00089503,62,24,2,0,0,31,5
S00089504,59,35,8,0,0,10,6
S00089505,64,32,5,0,0,18,9
S00089506,88,19,29,0,6,25,9
S00089507,93,27,10,0,4,39,13
S00089508,107,19,12,0,3,57,16
S00089509,51,8,5,0,0,34,4
S00089510,128,22,27,0,6,57,16
S00089511,88,20,13,0,6,40,9
S00089512,58,10,6,0,0,32,10
S00089513,126,30,10,0,3,71,12
S00089514,103,21,3,1,5,69,4
S00089515,268,70,54,0,8,97,39
S00089516,107,33,10,0,8,41,15
S00089517,73,24,13,0,2,26,8
S00089518,171,51,25,0,12,72,11
S00089519,118,55,3,0,1,47,12
S00089520,91,42,5,0,0,33,11
S00089521,131,72,4,0,0,46,9
S00089522,116,45,6,0,0,57,8
S00089523,101,43,8,0,0,43,7
S00089524,99,28,6,0,0,55,10
S00089525,78,26,3,0,0,45,4
S00089526,109,40,18,0,0,44,7
S00089527,107,51,2,0,0,44,10
S00089528,91,32,4,0,0,46,9
S00089529,118,33,13,0,1,57,14
S00089530,67,14,3,0,3,44,3
S00089531,82,18,1,0,0,51,12
S00089532,110,39,12,0,1,50,8
S00089533,79,28,9,0,0,37,5
S00089534,120,32,11,0,3,59,15
S00089535,86,37,7,0,3,31,8
S00089536,114,31,4,0,0,75,4
S00089537,76,18,5,0,2,47,4
S00089538,88,22,10,0,0,51,5
S00089539,79,12,8,0,4,49,6
S00089540,97,17,5,0,0,65,10
S00089541,96,31,14,0,0,38,13
S00089542,124,33,6,0,1,77,7
S00089543,80,14,3,0,0,55,8
S00089544,102,16,21,0,0,50,15
S00089545,62,38,2,0,0,12,10
S00089546,107,8,9,0,3,79,8
S00089547,143,34,11,0,0,90,8
S00089548,161,24,16,0,3,104,14
S00089549,98,18,5,0,4,63,8
S00089550,101,30,7,0,1,57,6
S00089551,76,23,5,0,0,38,10
S00089552,77,16,36,0,3,17,5
S00089553,101,54,11,0,0,28,8
S00089554,69,16,18,0,0,34,1
S00089555,141,40,15,0,0,71,15
S00089556,80,32,5,0,0,35,8
S00089557,138,28,39,0,1,65,5
S00089558,125,29,5,0,12,73,6
S00089559,154,58,7,0,4,76,9
S00089560,78,27,9,0,0,34,8
S00089561,101,29,11,0,4,47,10
S00089562,111,40,7,0,3,46,15
S00089563,76,30,8,0,0,30,8
S00089564,98,22,9,0,11,52,4
S00089565,147,48,5,0,4,79,11
S00089566,140,47,8,0,1,70,14
S00089567,174,33,48,0,1,80,12
S00089568,177,31,38,0,0,81,27
S00089569,111,41,24,0,3,39,4
S00089570,137,34,24,0,10,59,10
S00089571,150,31,9,0,10,77,23
S00089572,76,38,7,0,0,27,4
S00089573,103,45,11,0,0,40,7
S00089574,80,15,16,0,7,35,7
S00089575,72,30,2,0,0,29,11
S00089576,126,58,5,0,7,49,7
S00089577,89,5,8,0,5,69,2
S00089578,109,16,30,0,0,61,2
S00089579,88,9,10,0,0,63,6
S00089580,109,14,42,0,0,44,9
S00089581,89,19,33,0,0,25,12
S00089582,120,19,66,0,0,27,8
S00089583,134,30,22,0,5,68,9
S00089584,66,13,9,0,3,37,4
S00089585,131,31,3,0,2,79,16
S00089586,108,21,29,0,2,40,16
S00089587,69,25,3,0,0,34,7
S00089588,88,43,5,0,0,36,4
S00089589,87,46,0,0,0,36,5
S00089590,107,42,4,0,3,55,3
S00089591,120,26,25,0,2,57,10
S00089592,95,25,14,0,0,46,10
S00089593,120,21,10,5,5,67,12
S00089594,82,4,39,0,0,31,8
S00089595,143,44,14,0,2,65,18
S00089596,100,28,14,0,0,54,4
S00089597,128,14,15,0,3,91,5
S00089598,58,13,12,0,2,27,4
S00089599,130,34,26,0,7,49,14
S00089600,53,10,7,0,1,30,5
S00089601,71,21,4,0,0,32,14
S00089602,123,23,27,0,4,62,7
S00089603,91,33,18,1,4,31,4
S00089604,75,17,1,0,7,40,10
S00089605,139,31,27,0,5,62,14
S00089606,125,26,33,0,0,56,10
S00089607,148,20,32,0,19,50,27
S00089608,61,21,4,0,0,31,5
S00089609,105,14,31,0,4,39,17
S00089610,134,37,16,0,0,73,8
S00089611,85,26,5,0,1,43,10
S00089612,93,12,26,0,0,43,12
S00089613,62,16,6,0,0,35,5
S00089614,175,38,52,0,3,68,14
S00089615,122,31,24,0,5,55,7
S00089616,125,13,54,0,7,38,13
S00089617,156,21,72,0,4,54,5
S00089618,118,14,43,0,1,51,9
S00089619,132,23,49,0,1,47,12
S00089620,153,27,62,0,0,53,11
S00089621,51,30,1,0,0,15,5
S00089622,84,26,6,0,0,49,3
S00089623,104,25,16,0,0,45,18
S00089624,75,30,2,1,4,33,5
S00089625,112,36,11,0,14,39,12
S00089626,157,41,24,1,1,79,11
S00089627,70,15,14,0,2,30,9
S00089628,112,24,22,0,5,52,9
S00089629,169,27,24,1,34,59,24
S00089630,107,9,13,0,31,39,15
S00089631,115,22,18,0,2,66,7
S00089632,111,7,24,0,6,58,16
S00089633,409,103,39,3,24,191,49
S00089634,105,39,7,0,7,44,8
S00089635,60,11,17,0,2,28,2
S00089636,124,40,10,0,11,43,20
S00089637,60,8,11,0,5,30,6
S00089638,101,27,11,0,0,53,10
S00089639,94,23,19,3,2,42,5
S00089640,122,35,8,0,4,64,11
S00089641,61,12,6,0,1,36,6
S00089642,68,11,17,0,11,24,5
S00089643,132,20,18,1,4,76,13
S00089644,181,34,33,4,18,79,13
S00089645,160,13,29,0,19,79,20
S00089646,131,32,9,0,13,62,15
S00089647,148,26,23,1,0,86,12
S00089648,66,15,8,4,0,33,6
S00089649,107,31,12,0,0,50,14
S00089650,134,25,19,2,7,66,15
S00089651,400,121,30,1,20,178,50
S00089652,145,30,11,0,5,88,11
S00089653,114,21,12,0,13,61,7
S00089654,103,25,12,0,5,52,9
S00089655,84,34,9,0,0,36,5
S00089656,85,11,16,0,5,36,17
S00089657,73,22,6,0,6,32,7
S00089658,121,21,8,0,3,75,14
S00089659,218,57,31,1,4,97,28
S00089660,129,23,19,0,13,63,11
S00089661,126,23,14,1,5,65,18
S00089662,95,21,13,0,0,51,10
S00089663,117,29,16,0,3,51,18
S00089664,68,15,10,0,0,35,8
S00089665,102,25,9,0,1,56,11
S00089666,90,19,13,1,2,43,12
S00089667,60,22,5,0,3,27,3
S00089668,89,27,9,0,0,43,10
S00089669,134,30,24,0,0,66,14
S00089670,74,25,9,0,8,20,12
S00089671,316,64,39,0,2,180,31
S00089672,116,30,9,0,0,70,7
S00089673,100,43,6,0,0,39,12
S00089674,138,41,7,0,6,65,19
S00089675,136,53,19,0,7,39,18
S00089676,70,10,11,0,4,30,15
S00089677,120,28,21,0,1,61,9
S00089678,69,13,19,0,6,27,4
S00089679,138,30,17,0,13,54,24
S00089680,118,26,12,0,5,53,22
S00089681,145,31,19,0,5,78,12
S00089682,64,15,12,0,0,28,9
