"output_area","total","non_catholic_christian","catholic_christian","jewish","muslim","none","other"
"60QA000468",91,26,9,0,0,47,9
"60QA000469",68,28,10,0,1,26,3
"60QA000470",79,32,4,0,0,33,10
"60QA000471",122,55,7,0,0,53,7
"60QA000472",78,25,5,0,0,39,9
"60QA000473",59,21,8,0,0,25,5
"60QA000474",77,21,6,0,3,39,8
"60QA000475",96,57,9,0,0,19,11
"60QA000476",106,37,2,0,1,51,15
"60QA000477",72,24,8,0,2,33,5
"60QA000478",105,41,10,0,0,51,3
"60QA000479",146,53,11,0,1,74,7
"60QA000480",71,32,3,0,0,34,2
"60QA000481",178,45,15,0,0,59,59
"60QA000482",64,34,0,0,0,28,2
"60QA000483",122,34,8,0,3,65,12
"60QA000484",115,41,5,0,0,54,15
"60QA000485",61,22,14,0,0,25,0
"60QA000486",68,16,5,0,3,37,7
"60QA000487",90,31,6,0,0,50,3
"60QA000488",94,31,10,1,0,44,8
"60QA000489",70,20,8,0,0,32,10
"60QA000490",62,20,4,0,0,30,8
"60QA000491",73,24,1,1,0,37,10
"60QA000492",90,28,3,0,2,50,7
"60QA000493",67,30,3,0,1,24,9
"60QA000494",61,25,8,0,0,26,2
"60QA000495",103,58,9,0,0,31,5
"60QA000496",83,56,4,0,0,22,1
"60QA000497",112,51,8,0,3,39,11
"60QA000498",181,71,23,1,7,64,15
"60QA000499",129,41,9,0,0,75,4
"60QA000500",113,58,4,0,2,41,8
"60QA000501",67,32,8,0,0,24,3
"60QA000502",63,30,6,0,0,20,7
"60QA000503",77,44,11,0,2,16,4
"60QA000504",58,22,6,0,0,20,10
"60QA000505",65,36,4,0,0,25,0
"60QA000506",187,79,14,0,1,78,15
"60QA000507",132,40,2,0,4,84,2
"60QA000508",82,11,7,0,0,62,2
"60QA000509",98,37,8,0,0,47,6
"60QA000510",141,39,6,0,0,77,19
"60QA000511",129,26,8,0,3,68,24
"60QA000512",65,42,2,0,0,17,4
"60QA000513",64,37,4,0,0,14,9
"60QA000514",64,44,2,0,0,13,5
"60QA000515",99,39,8,0,3,45,4
"60QA000516",86,26,9,0,0,39,12
"60QA000517",113,27,5,0,0,73,8
"60QA000518",108,35,11,0,1,54,7
"60QA000519",123,23,5,0,8,76,11
"60QA000520",124,23,9,0,3,74,15
"60QA000521",75,20,1,1,0,44,9
"60QA000522",168,67,20,5,1,57,18
"60QA000523",329,144,36,1,6,109,33
"60QA000524",64,24,4,0,0,30,6
"60QA000525",162,83,13,0,4,56,6
"60QA000526",126,83,1,0,0,41,1
"60QA000527",91,54,2,0,0,27,8
"60QA000528",119,75,10,0,0,29,5
"60QA000529",126,68,11,0,0,41,6
"60QA000530",98,56,1,0,0,36,5
"60QA000531",108,50,7,0,0,45,6
"60QA000532",72,37,5,0,0,30,0
"60QA000533",105,68,7,0,0,27,3
"60QA000534",112,59,11,0,0,38,4
"60QA000535",107,51,5,0,0,46,5
"60QA000536",114,48,4,0,0,50,12
"60QA000537",150,69,11,0,2,65,3
"60QA000538",119,54,6,0,0,54,5
"60QA000539",67,30,7,0,0,30,0
"60QA000540",138,68,4,0,0,54,12
"60QA000541",91,28,8,0,2,48,5
"60QA000542",121,40,6,0,0,64,11
"60QA000543",79,33,2,0,0,38,6
"60QA000544",78,37,4,0,0,36,1
"60QA000545",91,21,5,0,0,63,2
"60QA000546",83,28,1,0,0,51,3
"60QA000547",87,38,3,0,0,41,5
"60QA000548",116,42,4,0,0,64,6
"60QA000549",94,36,5,1,0,44,8
"60QA000550",67,10,1,0,0,51,5
"60QA000551",65,51,2,0,0,12,0
"60QA000552",103,33,2,0,0,67,1
"60QA000553",150,69,7,0,0,66,8
"60QA000554",119,36,0,0,3,76,4
"60QA000555",95,44,0,0,0,48,3
"60QA000556",98,46,5,0,0,42,5
"60QA000557",83,49,6,0,0,28,0
"60QA000558",53,16,7,0,0,29,1
"60QA000559",106,43,7,0,0,47,9
"60QA000560",55,15,8,0,0,27,5
"60QA000561",128,37,12,0,0,66,13
"60QA000562",80,43,3,0,0,25,9
"60QA000563",118,46,11,0,0,56,5
"60QA000564",75,33,3,0,0,38,1
"60QA000565",137,63,9,0,1,58,6
"60QA000566",107,44,8,0,0,49,6
"60QA000567",87,42,4,0,0,35,6
"60QA000568",104,55,4,0,0,44,1
"60QA000569",75,40,0,1,0,31,3
"60QA000570",83,31,1,0,0,41,10
"60QA000571",157,74,6,0,4,65,8
"60QA000572",153,76,10,0,1,56,10
"60QA000573",129,19,3,0,2,81,24
"60QA000574",169,28,5,0,5,92,39
"60QA000575",112,46,11,0,2,42,11
"60QA000576",134,46,4,0,10,55,19
"60QA000577",128,43,12,0,0,60,13
"60QA000578",88,45,6,0,0,30,7
"60QA000579",96,47,1,0,0,42,6
"60QA000580",70,28,3,0,2,34,3
"60QA000581",84,46,2,0,2,32,2
"60QA000582",113,59,1,0,0,48,5
"60QA000583",113,27,6,0,2,69,9
"60QA000584",67,14,2,0,0,34,17
"60QA000585",84,23,0,0,0,38,23
"60QA000586",66,15,1,0,0,36,14
"60QA000587",66,19,2,0,0,29,16
"60QA000588",99,14,3,0,1,71,10
"60QA000589",73,13,8,0,0,45,7
"60QA000590",78,14,5,0,7,43,9
"60QA000591",79,40,5,0,0,31,3
"60QA000592",118,32,3,0,0,78,5
"60QA000593",110,58,4,0,0,43,5
"60QA000594",94,56,1,0,0,34,3
"60QA000595",108,54,2,0,0,50,2
"60QA000596",103,27,4,0,0,62,10
"60QA000597",77,19,2,0,3,49,4
"60QA000598",136,44,5,0,0,81,6
"60QA000599",208,68,15,0,0,116,9
"60QA000600",100,50,3,0,0,42,5
"60QA000601",68,20,4,0,2,38,4
"60QA000602",67,22,2,0,0,27,16
"60QA000603",64,6,9,0,4,40,5
"60QA000604",58,12,5,0,1,37,3
"60QA000605",52,17,0,0,2,18,15
"60QA000606",82,16,3,0,12,42,9
"60QA000607",78,19,3,0,1,42,13
"60QA000608",72,23,3,0,0,41,5
"60QA000609",69,24,2,0,0,38,5
"60QA000610",58,29,1,0,0,20,8
"60QA000611",191,80,11,0,6,81,13
"60QA000612",139,55,7,0,0,66,11
"60QA000613",118,33,7,0,5,52,21
"60QA000614",179,66,9,0,1,85,18
"60QA000615",85,44,5,0,0,28,8
"60QA000616",93,38,4,0,1,40,10
"60QA000617",76,37,5,0,0,32,2
"60QA000618",67,30,4,0,1,27,5
"60QA000619",157,39,5,0,0,101,12
"60QA000620",106,24,3,0,0,71,8
"60QA000621",109,27,2,0,0,73,7
"60QA000622",82,31,1,0,2,45,3
"60QA000623",100,22,12,0,0,55,11
"60QA000624",88,25,4,1,1,44,13
"60QA000625",63,17,10,0,0,31,5
"60QA000626",68,26,0,0,1,22,19
"60QA000627",97,42,3,0,4,38,10
"60QA000628",109,33,8,0,1,62,5
"60QA000629",194,82,17,0,2,77,16
"60QA000630",189,78,11,0,1,79,20
"60QA000631",58,19,7,0,1,25,6
"60QA000632",92,39,7,0,0,35,11
"60QA000633",112,23,12,0,8,43,26
"60QA000634",180,46,8,0,23,84,19
"60QA000635",87,22,6,0,2,51,6
"60QA000636",221,61,16,0,24,104,16
"60QA000637",160,78,13,0,0,59,10
"60QA000638",138,64,5,0,3,64,2
"60QA000639",141,62,5,0,0,63,11
"60QA000640",89,39,3,0,3,37,7
"60QA000641",120,64,5,0,0,43,8
"60QA000642",70,29,2,0,0,29,10
"60QA000643",57,26,0,0,1,27,3
"60QA000644",118,37,12,0,3,58,8
"60QA000645",144,31,2,0,23,69,19
"60QA000646",148,35,4,0,25,66,18
"60QA000647",127,51,8,0,5,54,9
"60QA000648",99,39,8,0,0,40,12
"60QA000649",98,44,9,0,0,41,4
"60QA000650",101,39,3,0,0,47,12
"60QA000651",126,46,22,0,3,52,3
"60QA000652",456,191,41,0,8,176,40
"60QA000653",126,49,11,0,8,48,10
"60QA000654",72,31,5,0,0,34,2
"60QA000655",89,34,11,0,0,35,9
"60QA000656",127,50,11,1,4,55,6
"60QA000657",81,44,10,0,0,24,3
"60QA000658",123,46,11,1,7,47,11
