"output_area","total","good","not_good"
"S00089940",104,100,4
"S00089941",116,112,4
"S00089942",65,59,6
"S00089943",97,85,12
"S00089944",58,45,13
"S00089945",170,160,10
"S00089946",113,111,2
"S00089947",101,94,7
"S00089948",145,144,1
"S00089949",115,103,12
"S00089950",108,103,5
"S00089951",97,94,3
"S00089952",125,115,10
"S00089953",64,55,9
"S00089954",132,118,14
"S00089955",173,165,8
"S00089956",55,41,14
"S00089957",107,99,8
"S00089958",102,97,5
"S00089959",114,101,13
"S00089960",86,78,8
"S00089961",84,79,5
"S00089962",73,63,10
"S00089963",91,85,6
"S00089964",87,65,22
"S00089965",162,155,7
"S00089966",165,158,7
"S00089967",115,105,10
"S00089968",92,84,8
"S00089969",97,90,7
"S00089970",93,92,1
"S00089971",171,160,11
"S00089972",110,103,7
"S00089973",108,100,8
"S00089974",100,99,1
"S00089975",121,114,7
"S00089976",107,99,8
"S00089977",103,97,6
"S00089978",131,118,13
"S00089979",104,95,9
"S00089980",104,93,11
"S00089981",56,45,11
"S00089982",94,85,9
"S00089983",79,74,5
"S00089984",104,102,2
"S00089985",114,108,6
"S00089986",80,72,8
"S00089987",88,80,8
"S00089988",113,99,14
"S00089989",106,103,3
"S00089990",91,85,6
"S00089991",105,103,2
"S00089992",135,129,6
"S00089993",107,104,3
"S00089994",107,106,1
"S00089995",98,97,1
"S00089996",58,54,4
"S00089997",136,135,1
"S00089998",155,152,3
"S00089999",110,105,5
"S00090000",105,105,0
"S00090001",85,82,3
"S00090002",161,147,14
"S00090003",130,121,9
"S00090004",83,73,10
"S00090005",56,54,2
"S00090006",99,83,16
"S00090007",204,192,12
"S00090008",79,67,12
"S00090009",108,106,2
"S00090010",103,94,9
"S00090011",115,109,6
"S00090012",138,130,8
"S00090013",106,98,8
"S00090014",136,128,8
"S00090015",106,103,3
"S00090016",100,91,9
"S00090017",128,121,7
"S00090018",136,131,5
"S00090019",54,49,5
"S00090020",53,50,3
"S00090021",117,106,11
"S00090022",114,104,10
"S00090023",73,70,3
"S00090024",137,124,13
"S00090025",158,154,4
"S00090026",69,62,7
"S00090027",145,136,9
"S00090028",141,141,0
"S00090029",117,113,4
"S00090030",102,96,6
"S00090031",184,178,6
"S00090032",122,115,7
"S00090033",161,154,7
"S00090034",128,118,10
"S00090035",93,89,4
"S00090036",156,152,4
"S00090037",126,118,8
"S00090038",105,98,7
"S00090039",141,134,7
"S00090040",171,162,9
"S00090041",69,66,3
"S00090042",118,111,7
"S00090043",143,139,4
"S00090044",155,148,7
"S00090045",201,198,3
"S00090046",54,50,4
"S00090047",102,97,5
"S00090048",130,124,6
"S00090049",157,147,10
"S00090050",110,103,7
"S00090051",151,140,11
"S00090052",131,123,8
"S00090053",121,112,9
"S00090054",188,174,14
"S00090055",175,160,15
"S00090056",99,98,1
"S00090057",104,100,4
"S00090058",56,41,15
"S00090059",149,136,13
"S00090060",119,117,2
"S00090061",125,120,5
"S00090062",84,75,9
"S00090063",106,103,3
"S00090064",171,166,5
"S00090065",62,56,6
"S00090066",81,78,3
"S00090067",101,100,1
"S00090068",108,104,4
"S00090069",154,149,5
"S00090070",214,203,11
"S00090071",117,115,2
"S00090072",130,126,4
"S00090073",130,127,3
"S00090074",121,119,2
"S00090075",133,130,3
"S00090076",142,138,4
"S00090077",114,113,1
"S00090078",155,149,6
"S00090079",142,137,5
"S00090080",100,100,0
"S00090081",118,116,2
"S00090082",80,74,6
"S00090083",111,106,5
"S00090084",148,143,5
"S00090085",132,129,3
"S00090086",140,139,1
"S00090087",107,103,4
"S00090088",99,93,6
"S00090089",109,102,7
"S00090090",63,62,1
"S00090091",163,161,2
"S00090092",69,63,6
"S00090093",55,50,5
"S00090094",142,138,4
"S00090095",142,133,9
"S00090096",103,95,8
"S00090097",73,71,2
"S00090098",89,83,6
"S00090099",189,172,17
"S00090100",131,130,1
"S00090101",131,126,5
"S00090102",113,112,1
"S00090103",148,141,7
"S00090104",125,124,1
"S00090105",93,89,4
"S00090106",173,166,7
"S00090107",156,150,6
"S00090108",125,124,1
"S00090109",115,111,4
"S00090110",138,136,2
"S00090111",76,74,2
"S00090112",170,167,3
"S00090113",107,105,2
"S00090114",129,127,2
"S00090115",105,101,4
