output_area,total,llti,no_llti
S00089443,63,8,55
S00089444,132,4,128
S00089445,145,5,140
S00089446,109,3,106
S00089447,92,3,89
S00089448,104,7,97
S00089449,141,11,130
S00089450,94,13,81
S00089451,91,40,51
S00089452,99,39,60
S00089453,110,19,91
S00089454,76,23,53
S00089455,93,36,57
S00089456,128,31,97
S00089457,85,10,75
S00089458,79,4,75
S00089459,61,9,52
S00089460,84,57,27
S00089461,104,27,77
S00089462,87,16,71
S00089463,132,16,116
S00089464,133,11,122
S00089465,84,5,79
S00089466,98,44,54
S00089467,82,8,74
S00089468,68,7,61
S00089469,114,7,107
S00089470,72,5,67
S00089471,73,6,67
S00089472,83,20,63
S00089473,94,15,79
S00089474,129,18,111
S00089475,70,5,65
S00089476,59,9,50
S00089477,104,9,95
S00089478,100,7,93
S00089479,71,3,68
S00089480,68,5,63
S00089481,123,2,121
S00089482,72,6,66
S00089483,87,8,79
S00089484,109,47,62
S00089485,68,4,64
S00089486,101,48,53
S00089487,80,30,50
S00089488,122,22,100
S00089489,131,8,123
S00089490,250,15,235
S00089491,109,9,100
S00089492,71,25,46
S00089493,74,16,58
S00089494,74,37,37
S00089495,69,17,52
S00089496,68,26,42
S00089497,213,17,196
S00089498,124,20,104
S00089499,71,14,57
S00089500,91,15,76
S00089501,146,24,122
S00089502,135,19,116
S00089503,62,51,11
S00089504,59,38,21
S00089505,64,38,26
S00089506,88,15,73
S00089507,93,18,75
S00089508,107,24,83
S00089509,51,6,45
S00089510,128,17,111
S00089511,88,20,68
S00089512,58,11,47
S00089513,126,23,103
S00089514,103,21,82
S00089515,268,26,242
S00089516,107,21,86
S00089517,73,27,46
S00089518,171,50,121
S00089519,118,37,81
S00089520,91,14,77
S00089521,131,32,99
S00089522,116,14,102
S00089523,101,28,73
S00089524,99,28,71
S00089525,78,19,59
S00089526,109,47,62
S00089527,107,65,42
S00089528,91,28,63
S00089529,118,33,85
S00089530,67,8,59
S00089531,82,20,62
S00089532,110,22,88
S00089533,79,18,61
S00089534,120,21,99
S00089535,86,16,70
S00089536,114,28,86
S00089537,76,18,58
S00089538,88,28,60
S00089539,79,19,60
S00089540,97,15,82
S00089541,96,22,74
S00089542,124,5,119
S00089543,80,28,52
S00089544,102,12,90
S00089545,62,45,17
S00089546,107,14,93
S00089547,143,33,110
S00089548,161,21,140
S00089549,98,25,73
S00089550,101,17,84
S00089551,76,29,47
S00089552,77,5,72
S00089553,101,51,50
S00089554,69,12,57
S00089555,141,27,114
S00089556,80,8,72
S00089557,138,20,118
S00089558,125,14,111
S00089559,154,23,131
S00089560,78,17,61
S00089561,101,17,84
S00089562,111,24,87
S00089563,76,16,60
S00089564,98,12,86
S00089565,147,31,116
S00089566,140,21,119
S00089567,174,27,147
S00089568,177,27,150
S00089569,111,42,69
S00089570,137,20,117
S00089571,150,16,134
S00089572,76,11,65
S00089573,103,16,87
S00089574,80,7,73
S00089575,72,6,66
S00089576,126,13,113
S00089577,89,16,73
S00089578,109,21,88
S00089579,88,10,78
S00089580,109,17,92
S00089581,89,13,76
S00089582,120,10,110
S00089583,134,39,95
S00089584,66,26,40
S00089585,131,19,112
S00089586,108,10,98
S00089587,69,18,51
S00089588,88,20,68
S00089589,87,16,71
S00089590,107,20,87
S00089591,120,22,98
S00089592,95,18,77
S00089593,120,26,94
