output_area,total,scotland,ruk,elsewhere
60QA000718,93,74,15,4
60QA000719,94,82,7,5
60QA000720,118,96,14,8
60QA000721,103,79,13,11
60QA000722,103,91,7,5
60QA000723,166,123,30,13
60QA000724,80,61,10,9
60QA000725,131,93,27,11
60QA000726,169,129,25,15
60QA000727,95,74,12,9
60QA000728,92,65,20,7
60QA000729,67,42,17,8
60QA000730,87,71,14,2
60QA000731,104,61,21,22
60QA000732,154,131,18,5
60QA000733,152,122,21,9
60QA000734,146,97,23,26
60QA000735,161,107,28,26
60QA000736,102,70,20,12
60QA000737,156,91,34,31
60QA000738,177,114,33,30
60QA000739,104,67,15,22
60QA000740,108,72,26,10
60QA000741,126,75,24,27
60QA000742,103,76,13,14
60QA000743,109,86,16,7
60QA000744,137,101,14,22
60QA000745,116,83,21,12
60QA000746,77,49,16,12
60QA000747,69,52,12,5
60QA000748,97,69,14,14
60QA000749,106,83,14,9
60QA000750,194,153,24,17
60QA000751,87,65,10,12
60QA000752,68,58,7,3
60QA000753,103,67,20,16
60QA000754,113,79,25,9
60QA000755,129,97,18,14
60QA000756,152,100,27,25
60QA000757,86,63,18,5
60QA000758,75,54,8,13
60QA000759,67,50,11,6
60QA000760,50,27,11,12
60QA000761,108,67,23,18
60QA000762,81,66,14,1
60QA000763,90,66,14,10
60QA000764,117,90,16,11
60QA000765,66,53,10,3
60QA000766,80,53,19,8
60QA000767,97,76,16,5
60QA000768,75,58,12,5
60QA000769,136,110,16,10
60QA000770,56,54,2,0
60QA000771,62,46,10,6
60QA000772,84,69,10,5
60QA000773,89,71,14,4
60QA000774,78,71,6,1
60QA000775,83,61,10,12
60QA000776,144,102,10,32
60QA000777,108,71,10,27
60QA000778,81,53,19,9
60QA000779,73,51,12,10
60QA000780,105,77,17,11
60QA000781,257,155,49,53
60QA000782,59,54,2,3
60QA000783,60,47,7,6
60QA000784,143,104,14,25
60QA000785,120,98,15,7
60QA000786,111,78,13,20
60QA000787,107,70,25,12
60QA000788,91,71,12,8
60QA000789,156,107,26,23
60QA000790,119,93,15,11
60QA000791,89,86,3,0
60QA000792,172,164,7,1
60QA000793,74,70,2,2
60QA000794,144,138,5,1
60QA000795,87,85,2,0
60QA000796,118,111,6,1
60QA000797,100,93,7,0
60QA000798,94,89,3,2
60QA000799,115,108,6,1
60QA000800,76,68,7,1
60QA000801,99,97,1,1
60QA000802,113,108,5,0
60QA000803,142,127,8,7
60QA000804,75,69,6,0
60QA000805,102,97,4,1
60QA000806,121,109,8,4
60QA000807,140,132,5,3
60QA000808,90,89,0,1
60QA000809,169,159,4,6
60QA000810,125,106,15,4
60QA000811,133,126,5,2
60QA000812,120,107,3,10
60QA000813,79,74,4,1
60QA000814,170,160,6,4
60QA000815,166,160,3,3
60QA000816,122,116,3,3
60QA000817,124,118,5,1
60QA000818,106,95,10,1
60QA000819,119,113,6,0
60QA000820,134,123,7,4
60QA000821,96,89,6,1
60QA000822,136,130,6,0
60QA000823,100,90,8,2
60QA000824,94,89,4,1
60QA000825,161,152,5,4
60QA000826,160,155,5,0
60QA000827,148,140,6,2
60QA000828,87,85,2,0
60QA000829,89,85,3,1
60QA000830,109,103,5,1
60QA000831,92,85,4,3
60QA000832,127,118,9,0
60QA000833,117,103,12,2
60QA000834,163,158,3,2
60QA000835,83,78,5,0
60QA000836,207,195,8,4
60QA000837,146,139,6,1
60QA000838,146,133,11,2
60QA000839,96,91,5,0
60QA000840,102,98,2,2
60QA000841,118,108,9,1
60QA000842,98,90,6,2
60QA000843,140,136,1,3
60QA000844,165,163,1,1
60QA000845,119,106,3,10
60QA000846,103,98,5,0
60QA000847,118,113,5,0
60QA000848,90,78,9,3
60QA000849,72,68,2,2
60QA000850,114,102,4,8
60QA000851,143,127,7,9
60QA000852,170,162,8,0
60QA000853,144,136,8,0
60QA000854,84,80,4,0
60QA000855,111,106,5,0
60QA000856,74,71,3,0
60QA000857,106,89,5,12
60QA000858,57,56,1,0
60QA000859,133,127,5,1
60QA000860,124,116,8,0
60QA000861,151,135,10,6
60QA000862,174,162,8,4
60QA000863,167,149,12,6
60QA000864,145,132,8,5
60QA000865,113,104,7,2
60QA000866,109,100,4,5
60QA000867,113,106,2,5
60QA000868,154,137,6,11
60QA000869,148,136,9,3
60QA000870,177,159,8,10
60QA000871,121,104,9,8
60QA000872,88,76,7,5
60QA000873,222,160,30,32
60QA000874,122,106,9,7
