"dz_2001","total","owned","nonowned"
"S01000867",895,366,529
"S01000868",703,238,465
"S01000869",595,181,414
"S01000870",865,354,511
"S01000871",782,609,173
"S01000872",798,576,222
"S01000873",2440,1881,559
"S01000874",496,219,277
"S01000875",1427,1090,337
"S01000876",668,496,172
"S01000877",674,258,416
"S01000878",554,512,42
"S01000879",936,816,120
"S01000880",787,713,74
"S01000881",642,363,279
"S01000882",887,557,330
"S01000883",813,560,253
"S01000884",550,437,113
"S01000885",478,460,18
"S01000886",645,446,199
"S01000887",723,559,164
"S01000888",658,387,271
"S01000889",686,485,201
"S01000890",746,452,294
"S01000891",856,663,193
"S01000892",541,488,53
"S01000893",625,582,43
"S01000894",493,379,114
"S01000895",916,729,187
"S01000896",485,427,58
"S01000897",678,459,219
"S01000898",526,348,178
"S01000899",829,407,422
"S01000900",626,452,174
"S01000901",603,284,319
"S01000902",943,668,275
"S01000903",997,644,353
"S01000904",696,456,240
"S01000905",690,385,305
"S01000906",504,355,149
"S01000907",734,391,343
"S01000908",735,382,353
"S01000909",897,604,293
"S01000910",842,491,351
"S01000911",1031,800,231
"S01000912",653,460,193
"S01000913",611,388,223
"S01000914",695,582,113
"S01000915",900,642,258
"S01000916",1044,695,349
"S01000917",677,436,241
"S01000918",550,391,159
"S01000919",631,391,240
"S01000920",597,362,235
"S01000921",661,334,327
"S01000922",920,494,426
"S01000923",862,547,315
"S01000924",861,492,369
"S01000925",1005,670,335
"S01000926",953,564,389
"S01000927",883,579,304
"S01000928",978,651,327
"S01000929",481,90,391
"S01000930",540,97,443
"S01000931",654,327,327
"S01000932",992,657,335
"S01000933",1032,654,378
"S01000934",893,414,479
"S01000935",767,538,229
"S01000936",856,627,229
"S01000937",548,301,247
"S01000938",783,537,246
"S01000939",738,511,227
"S01000940",848,707,141
"S01000941",478,287,191
"S01000942",975,513,462
"S01000943",830,745,85
"S01000944",819,553,266
"S01000945",737,453,284
"S01000946",775,504,271
"S01000947",685,483,202
"S01000948",844,660,184
"S01000949",610,514,96
"S01000950",772,490,282
"S01000951",858,493,365
"S01000952",866,631,235
"S01000953",874,796,78
"S01000954",1102,672,430
"S01000955",627,542,85
"S01000956",851,364,487
"S01000957",540,358,182
"S01000958",797,523,274
"S01000959",697,590,107
"S01000960",527,371,156
"S01000961",841,655,186
"S01000962",652,421,231
"S01000963",843,471,372
"S01000964",984,759,225
"S01000965",642,202,440
"S01000966",1041,629,412
"S01000967",578,328,250
"S01000968",977,630,347
"S01000969",908,555,353
"S01000970",788,489,299
"S01000971",729,311,418
"S01000972",916,845,71
"S01000973",660,454,206
"S01000974",1219,1099,120
"S01000975",646,461,185
"S01000976",505,362,143
"S01000977",900,722,178
"S01000978",820,511,309
"S01000979",703,467,236
"S01000980",672,441,231
"S01000981",681,551,130
"S01000982",711,591,120
"S01000983",533,394,139
"S01000984",620,399,221
"S01000985",714,364,350
"S01000986",588,402,186
"S01000987",627,462,165
"S01000988",565,463,102
"S01000989",809,683,126
"S01000990",808,517,291
"S01000991",428,273,155
"S01000992",1047,814,233
"S01000993",799,658,141
"S01000994",1050,604,446
"S01000995",778,705,73
"S01000996",1037,772,265
"S01000997",891,837,54
"S01000998",694,278,416
"S01000999",650,572,78
"S01001000",574,402,172
"S01001001",549,383,166
"S01001002",631,500,131
"S01001003",828,746,82
"S01001004",661,615,46
"S01001005",844,724,120
"S01001006",702,649,53
"S01001007",917,479,438
"S01001008",751,509,242
"S01001009",614,506,108
"S01001010",917,379,538
"S01001011",585,338,247
"S01001012",731,672,59
"S01001013",699,501,198
"S01001014",842,282,560
"S01001015",456,250,206
"S01001016",821,610,211
"S01001017",858,465,393
"S01001018",798,503,295
"S01001019",1048,289,759
"S01001020",548,309,239
"S01001021",1012,722,290
"S01001022",794,530,264
"S01001023",998,559,439
"S01001024",1777,1336,441
"S01001025",1260,1059,201
"S01001026",886,698,188
"S01001027",906,762,144
"S01001028",774,395,379
"S01001029",754,275,479
"S01001030",715,657,58
"S01001031",957,561,396
"S01001032",692,240,452
"S01001033",695,280,415
"S01001034",718,190,528
"S01001035",509,270,239
"S01001036",663,222,441
"S01001037",854,419,435
"S01001038",772,657,115
"S01001039",539,366,173
"S01001040",696,542,154
"S01001041",680,495,185
"S01001042",991,846,145
"S01001043",664,593,71
"S01001044",915,595,320
"S01001045",656,583,73
"S01001046",847,617,230
"S01001047",818,629,189
"S01001048",579,515,64
"S01001049",629,405,224
"S01001050",949,629,320
"S01001051",638,394,244
"S01001052",519,295,224
"S01001053",763,603,160
"S01001054",711,450,261
"S01001055",819,534,285
"S01001056",711,467,244
"S01001057",602,285,317
"S01001058",768,511,257
"S01001059",660,292,368
"S01001060",706,403,303
"S01001061",729,460,269
"S01001062",588,444,144
"S01001063",884,628,256
"S01001064",717,518,199
"S01001065",756,488,268
"S01001066",772,514,258
"S01001067",780,484,296
"S01001068",856,631,225
"S01001069",856,606,250
"S01001070",889,553,336
"S01001071",690,494,196
"S01001072",896,434,462
"S01001073",1122,807,315
"S01001074",490,262,228
"S01001075",896,583,313
"S01001076",851,491,360
"S01001077",913,568,345
"S01001078",955,521,434
"S01001079",552,301,251
"S01001080",722,561,161
"S01001081",580,354,226
"S01001082",925,665,260
"S01001083",807,546,261
"S01001084",934,689,245
"S01001085",833,456,377
"S01001086",748,278,470
"S01001087",476,272,204
"S01001088",1009,487,522
"S01001089",883,585,298
"S01001090",869,538,331
"S01001091",579,204,375
"S01001092",1015,304,711
"S01001093",835,239,596
"S01001094",882,691,191
"S01001095",662,69,593
"S01001096",939,209,730
"S01001097",665,514,151
"S01001098",638,575,63
"S01001099",1453,182,1271
"S01001100",963,307,656
"S01001101",1316,122,1194
"S01001102",351,26,325
"S01001103",701,469,232
"S01001104",800,108,692
"S01001105",781,735,46
"S01001106",906,769,137
"S01001107",948,336,612
"S01001108",1665,322,1343
"S01001109",1220,322,898
"S01001110",808,180,628
"S01001111",1056,206,850
"S01001112",761,441,320
"S01001113",961,170,791
"S01001114",907,173,734
"S01001115",742,307,435
"S01001116",528,295,233
"S01001117",539,172,367
"S01001118",522,409,113
"S01001119",951,415,536
"S01001120",649,439,210
"S01001121",644,224,420
"S01001122",644,262,382
"S01001123",971,769,202
"S01001124",624,419,205
"S01001125",363,175,188
"S01001126",845,744,101
"S01001127",762,476,286
"S01001128",644,616,28
"S01001129",935,408,527
"S01001130",762,410,352
"S01001131",472,213,259
"S01001132",695,482,213
"S01001133",1062,566,496
"S01001134",849,725,124
"S01001135",342,106,236
"S01001136",1007,220,787
"S01001137",967,223,744
"S01001138",1406,467,939
"S01001139",753,393,360
"S01001140",924,431,493
"S01001141",516,149,367
"S01001142",899,758,141
"S01001143",737,671,66
"S01001144",711,338,373
