"output_area","All people aged 16 to 74","Economically active","Economically active: Employee: Part-time","Economically active: Employee: Full-time","Economically active: Self-employed with employees: Part-time","Economically active: Self-employed with employees: Full-time","Economically active: Self-employed without employees: Part-time","Economically active: Self-employed without employees: Full-time","Economically active: Unemployed","Economically active: Full-time student","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"S00089218",117,93,5,69,0,1,0,1,6,11,24,1,12,2,7,2
"S00089219",76,61,3,49,0,0,0,0,0,9,15,2,10,2,1,0
"S00089220",59,48,3,32,0,1,0,3,4,5,11,2,6,1,0,2
"S00089221",133,107,12,73,0,1,1,4,5,11,26,9,6,1,7,3
"S00089222",80,75,4,61,1,1,1,2,2,3,5,0,4,0,1,0
"S00089223",60,47,4,36,0,0,0,2,1,4,13,4,6,0,1,2
"S00089224",120,91,18,60,0,1,2,1,3,6,29,17,5,3,0,4
"S00089225",55,51,4,36,0,1,0,0,2,8,4,1,1,0,1,1
"S00089226",52,48,6,36,0,0,1,2,0,3,4,2,1,1,0,0
"S00089227",118,98,12,70,0,0,0,4,3,9,20,4,10,2,3,1
"S00089228",70,63,14,37,0,3,3,4,0,2,7,1,3,0,1,2
"S00089229",79,66,8,44,1,2,1,3,0,7,13,7,1,5,0,0
"S00089230",85,64,5,46,0,1,0,3,2,7,21,9,2,1,7,2
"S00089231",79,69,7,54,0,0,1,1,2,4,10,3,5,2,0,0
"S00089232",73,62,5,42,0,6,2,3,1,3,11,3,4,3,0,1
"S00089233",63,46,8,28,1,5,3,0,0,1,17,7,3,6,0,1
"S00089234",74,57,10,32,0,4,2,4,2,3,17,8,2,5,1,1
"S00089235",98,87,2,64,0,0,1,3,7,10,11,5,5,1,0,0
"S00089236",77,66,4,58,0,1,0,0,1,2,11,4,3,1,1,2
"S00089237",88,67,9,52,0,2,2,2,0,0,21,15,5,1,0,0
"S00089238",109,71,16,40,0,1,1,7,1,5,38,30,3,4,1,0
"S00089239",79,59,7,40,0,2,1,6,0,3,20,10,5,5,0,0
"S00089240",133,101,22,64,0,1,3,4,1,6,32,22,5,2,0,3
"S00089241",42,29,7,17,0,3,1,1,0,0,13,8,1,2,1,1
"S00089242",94,74,13,41,0,0,3,5,5,7,20,13,4,3,0,0
"S00089243",89,60,14,37,0,3,0,1,0,5,29,18,5,5,0,1
"S00089244",80,60,12,43,0,1,0,2,1,1,20,15,0,4,1,0
"S00089245",64,46,7,32,1,2,0,2,1,1,18,16,0,1,0,1
"S00089246",70,44,9,24,0,3,0,1,1,6,26,19,5,0,0,2
"S00089247",120,82,13,51,1,4,2,6,0,5,38,26,4,8,0,0
"S00089248",167,127,18,79,1,2,2,10,3,12,40,10,17,3,9,1
"S00089249",81,60,9,40,1,5,0,4,0,1,21,13,4,3,1,0
"S00089250",66,57,5,36,0,5,2,6,0,3,9,3,1,4,1,0
"S00089251",81,63,10,32,0,4,1,7,1,8,18,9,6,3,0,0
"S00089252",83,59,6,42,0,2,7,2,0,0,24,10,6,6,0,2
"S00089253",93,71,13,39,0,3,2,7,3,4,22,10,8,2,1,1
"S00089254",99,69,11,47,0,3,1,4,0,3,30,17,3,10,0,0
"S00089255",100,78,12,55,1,0,0,4,1,5,22,13,4,3,1,1
"S00089256",82,65,9,38,0,3,2,7,3,3,17,8,1,6,1,1
"S00089257",80,68,10,41,0,2,2,4,0,9,12,8,1,2,0,1
"S00089258",85,62,3,48,0,0,1,3,2,5,23,9,9,4,1,0
"S00089259",66,57,10,37,0,2,1,3,0,4,9,4,1,4,0,0
"S00089260",100,87,11,60,1,0,5,5,2,3,13,6,0,6,1,0
"S00089261",127,106,13,66,0,4,2,8,6,7,21,10,6,3,1,1
"S00089262",91,70,8,48,0,1,0,3,2,8,21,8,11,1,1,0
"S00089263",87,77,5,58,1,0,1,3,5,4,10,1,3,1,4,1
"S00089264",119,102,11,77,0,1,0,6,0,7,17,9,6,2,0,0
"S00089265",80,71,5,51,0,0,0,1,3,11,9,0,7,0,1,1
"S00089266",85,78,9,58,0,0,1,3,3,4,7,5,1,1,0,0
"S00089267",79,64,5,39,0,0,1,3,4,12,15,3,12,0,0,0
"S00089268",100,86,3,74,0,0,0,4,2,3,14,2,6,5,1,0
"S00089269",88,82,4,63,0,1,1,3,5,5,6,3,2,0,0,1
"S00089270",109,95,8,73,0,1,0,5,0,8,14,7,1,3,0,3
"S00089271",66,51,6,35,0,2,2,1,0,5,15,8,1,4,0,2
"S00089272",54,41,7,24,1,2,0,4,0,3,13,9,0,4,0,0
"S00089273",92,80,7,64,0,0,1,1,0,7,12,5,6,0,1,0
