"output_area","All households","Number of households comprising: One person Pensioner","Number of households comprising: One person Other","Number of households comprising: One family and no others All pensioners","Number of households comprising: One family and no others Married couple households No children","Number of households comprising: One family and no others Married couple households With dependent children","Number of households comprising: One family and no others Married couple households All children non-dependent ","Number of households comprising: One family and no others Cohabiting couple households No children","Number of households comprising: One family and no others Cohabiting couple households With dependent children","Number of households comprising: One family and no others Cohabiting couple households All children non-dependent","Number of households comprising: One family and no others Lone parent housheolds With dependent children","Number of households comprising: One family and no others Lone parent households All children non-dependent","Number of households comprising: Other households With dependent children","Number of households comprising: Other households All student","Number of households comprising: Other households All pensioner","Number of households comprising: Other households Other"
"60QA000228",55,13,19,7,8,4,0,2,0,0,0,0,0,0,1,1
"60QA000229",31,0,3,1,8,11,1,2,2,0,0,0,1,1,0,1
"60QA000230",34,6,3,4,8,7,1,2,0,0,0,1,0,0,1,1
"60QA000231",44,7,5,5,5,12,3,3,0,0,0,2,1,0,0,1
"60QA000232",76,2,23,6,11,10,5,5,3,0,4,3,1,2,0,1
"60QA000233",73,7,16,2,11,18,4,4,1,0,4,1,3,0,1,1
"60QA000234",51,7,6,4,4,20,3,1,1,0,1,0,1,0,1,2
"60QA000235",51,7,10,2,12,7,1,3,1,0,3,1,0,0,0,4
"60QA000236",50,10,4,5,5,13,4,2,1,0,1,1,1,0,1,2
"60QA000237",44,6,6,4,7,11,2,2,1,1,2,1,0,1,0,0
"60QA000238",51,2,28,1,2,0,0,10,0,0,3,1,0,0,0,4
"60QA000239",35,1,16,0,3,1,1,8,0,0,1,0,0,3,0,1
"60QA000240",44,0,25,0,0,0,0,12,0,0,2,0,0,2,0,3
"60QA000241",43,1,31,0,2,0,0,3,0,0,0,1,0,0,0,5
"60QA000242",66,3,26,0,3,2,0,11,0,0,1,0,0,13,0,7
"60QA000243",39,0,19,1,4,2,0,6,0,0,1,0,0,2,0,4
"60QA000244",42,2,17,1,3,3,1,7,1,1,1,2,0,1,0,2
"60QA000245",38,3,12,2,5,0,0,5,0,0,0,0,0,7,0,4
"60QA000246",70,2,39,1,4,0,0,12,2,0,1,0,0,2,0,7
"60QA000247",48,2,28,1,2,0,0,7,1,0,0,0,0,2,0,5
"60QA000248",80,6,57,0,1,3,0,7,0,0,1,0,0,3,0,2
"60QA000249",43,2,25,0,4,0,1,9,0,0,0,0,0,1,0,1
"60QA000250",47,2,24,0,5,0,0,10,0,0,0,1,0,1,0,4
"60QA000251",35,1,21,0,3,2,0,4,0,0,1,0,0,1,0,2
"60QA000252",51,10,19,2,4,4,1,3,1,0,1,0,0,0,1,5
"60QA000253",61,4,34,2,3,0,2,9,0,1,1,2,1,0,0,2
"60QA000254",68,4,26,1,4,8,4,4,2,1,5,0,1,4,1,3
"60QA000255",76,2,46,3,3,1,0,11,2,0,0,2,0,0,0,6
"60QA000256",81,7,48,1,9,3,1,7,0,0,1,0,0,0,0,4
"60QA000257",41,1,15,3,1,8,2,4,0,0,0,0,1,2,0,4
"60QA000258",50,9,20,1,4,6,2,3,0,0,1,0,0,0,0,4
"60QA000259",47,4,17,3,4,10,0,5,1,0,0,1,0,1,0,1
"60QA000260",53,5,33,1,2,1,0,9,0,0,1,1,0,0,0,0
"60QA000261",79,3,19,2,7,19,4,8,2,0,3,2,3,2,0,5
"60QA000262",47,5,13,1,8,10,1,4,2,0,1,0,0,0,0,2
"60QA000263",65,3,45,0,4,1,0,6,0,0,1,0,0,2,0,3
"60QA000264",59,7,34,0,4,2,0,6,1,0,0,0,1,1,0,3
"60QA000265",55,4,7,6,9,18,2,3,3,0,0,2,1,0,0,0
"60QA000266",59,13,7,6,11,10,5,0,0,0,2,0,3,0,1,1
"60QA000267",43,4,5,6,2,16,2,2,2,0,1,1,0,0,0,2
"60QA000268",70,6,9,1,15,18,5,1,2,1,2,4,2,0,1,3
"60QA000269",68,10,5,9,9,24,5,1,1,0,0,0,0,0,0,4
"60QA000270",52,5,3,9,8,20,2,0,0,0,3,1,0,0,0,1
"60QA000271",56,5,10,9,8,8,6,2,0,0,3,1,2,0,0,2
"60QA000272",42,8,12,5,2,6,2,1,1,0,2,0,0,0,2,1
"60QA000273",35,8,4,3,7,9,2,0,0,1,0,0,0,0,1,0
"60QA000274",72,7,11,11,18,9,4,6,0,0,4,2,0,0,0,0
"60QA000275",59,10,6,6,11,16,3,3,0,1,0,1,1,0,0,1
"60QA000276",66,5,13,3,13,10,6,5,3,0,1,4,1,0,1,1
"60QA000277",50,4,9,2,14,13,3,1,1,0,1,1,0,0,0,1
"60QA000278",44,3,4,2,5,19,5,2,1,0,2,0,0,0,1,0
"60QA000279",56,10,8,8,4,6,4,5,0,0,2,3,2,1,0,3
"60QA000280",53,5,6,7,10,14,4,1,0,0,0,1,0,1,1,3
"60QA000281",53,5,17,2,7,2,5,10,1,0,2,1,0,0,0,1
"60QA000282",44,6,6,1,7,10,3,2,0,0,1,1,0,0,1,6
"60QA000283",45,4,5,3,3,16,3,5,0,0,2,0,1,0,0,3
"60QA000284",46,3,18,1,2,5,4,4,0,0,3,0,0,2,0,4
"60QA000285",37,9,14,2,1,3,1,1,0,0,1,1,1,1,0,2
"60QA000286",58,8,9,2,9,13,5,4,3,0,0,1,1,0,1,2
"60QA000287",71,6,25,2,7,10,5,4,1,0,2,2,2,0,0,5
"60QA000288",66,16,34,2,2,1,2,8,0,0,0,1,0,0,0,0
"60QA000289",39,3,21,0,1,1,0,11,1,0,0,0,0,0,0,1
"60QA000290",73,13,28,3,8,3,4,4,0,0,0,0,2,0,0,8
"60QA000291",53,3,28,0,3,2,0,7,1,0,0,0,0,2,0,7
"60QA000292",67,7,34,1,3,4,1,11,0,0,1,0,0,1,0,4
"60QA000293",46,3,25,0,2,1,0,10,0,0,0,0,0,1,0,4
"60QA000294",80,3,53,0,6,4,0,6,0,0,2,2,0,0,0,4
"60QA000295",60,6,36,1,1,3,0,11,0,0,2,0,0,0,0,0
"60QA000296",73,4,38,2,8,4,1,8,4,0,1,0,0,0,1,2
"60QA000297",36,3,6,2,4,9,5,2,2,0,0,2,1,0,0,0
"60QA000298",25,0,7,0,4,7,3,0,0,0,1,0,1,0,0,2
"60QA000299",55,4,35,0,1,1,1,10,0,0,0,0,0,1,0,2
"60QA000300",62,3,21,0,4,7,2,9,2,0,5,3,0,1,0,5
"60QA000301",48,40,1,5,1,0,0,0,0,0,0,1,0,0,0,0
"60QA000302",38,4,24,0,2,0,0,4,0,0,0,1,0,2,0,1
"60QA000303",71,5,10,8,6,17,7,3,2,0,3,5,2,0,1,2
"60QA000304",53,41,0,8,1,0,0,1,0,0,0,1,0,0,1,0
"60QA000305",31,2,8,2,4,6,2,1,0,0,2,1,1,1,0,1
"60QA000306",31,3,4,2,7,5,3,2,0,0,2,0,1,0,0,2
"60QA000307",37,8,2,4,5,8,1,3,2,0,2,1,0,0,0,1
"60QA000308",32,7,13,0,2,2,0,3,0,0,0,0,0,3,0,2
"60QA000309",80,9,19,6,12,12,4,8,1,0,3,3,0,0,0,3
"60QA000310",76,16,22,3,3,3,4,11,1,0,1,2,0,4,0,6
"60QA000311",68,4,39,1,3,0,0,10,0,0,2,0,0,2,0,7
"60QA000312",70,44,10,10,1,0,1,1,0,0,0,3,0,0,0,0
"60QA000313",52,8,7,4,8,0,4,1,2,0,5,7,2,1,1,2
"60QA000314",50,8,5,4,6,4,6,1,2,0,5,3,2,0,1,3
"60QA000315",33,7,5,4,3,5,3,1,1,0,2,0,1,0,0,1
"60QA000316",40,4,2,4,2,13,3,2,1,0,4,3,2,0,0,0
